id,sentence,dialect
31,અમીત ભાઈ સુરતની એક ખાસ મજાની વાત એ છે કે રાતના ત્રણ વાગ્યે પણ તમે એમ કહેશો ને કે ભાઈ મને ચાય પીવી છે તો તમને એમ સાંભળવા મળસે કે હા ભાઈ ચાલો સ્ટેસન પર જઇએ,surti
32,જેટલી વાર સાભળ્યું એટલુ નવુ લાગે છે,charotari
33,બહુ મસ્ત વિડિયો છે,surti
34,સુપર હો ભાઈ ગુજરાત મા ભુમ પડાય હો.. ખુબ આગળ વધો.. કરન ભાઈ..❤,surti
35,શાહબુદ્દીન રાઠોડ ની કોપી કરી પણ એના જેવું નો થાય માયા ભાઈ,charotari
36,"મોદી
સરકારના મંત્રીએ કહ્યું હતું કે, કોંગ્રેસનું કામ માત્ર સંસદમાં હંગામો કરવાનું છે",kathiawari
37,"આ કેસ
જૂનાગઢ સેશન કોર્ટમાં ચાલી જતા બન્ને પક્ષની દલીલો, પુરાવાઓને ધ્યાને રાખી જિલ્લા ન્યાયાધીશ
એ મીનાક્ષી ગાવિંદ બામણિયા અને તેના પ્રેમી અમિત નાથા પરમારને  આજીવન કેદની સજા અને રૂપિયા 1000નો દંડ ફટકારતો
ચુકાદો આપ્યો હતો",kathiawari
38,લાઈવ-ટેલીકાસ્ટ કરીને આવીયો છું 😄😄🤣😅😅😆😄,surti
39,"આ ફિલ્મમાં તેની હીરોઇન મૃણાલ ઠાકુર
છે",kathiawari
40,આ બજેટ કોઈપણ નવા કરવેરાનું ભારણ નાખ્યા વગર રાજ્યની અવિરત વિકાસ યાત્રાને જન કલ્યાણના અડગ વિશ્વાસથી આગળ ધપાવનારું છે,standard_gujarati
41,મહેસાણા ની ભાષા નથી આ કોઈ બીજા સમાજ ની ભાષા છે,charotari
42,ઊજેનનાડોનોવીડીયોબનાવોભાઈદૂલભકશય,charotari
43,"આ પ્રોજેક્ટ વિશેષરૂપે દુષ્કાળગ્રસ્ત કઠુઆ અને સાંબા
જિલ્લા માટે જીવનરેખા જેવો સાબિત થશે",kathiawari
44,"રિજિજુએ
જણાવ્યું હતું કે, સંસદમાં રાહુલનું વર્તન બાલિશ અને બેજવાબદાર છે",kathiawari
45,ભાઈ થોડા જ સમય માં તમારું રેપ સોંગ movie માં જોવા મળશે.,surti
46,મહેસાણા ના કોઈ આવુ નથી બોલતુ તમે માયાભાઈ ખોટી બોલી ઊભી નથી કરો ્્્મારા મહેસાણા એ તો દેશને વડાપ્રધાન આપ્યો છે......,charotari
47,આ માણસ સનાતન ધર્મ નું અપમાન કરી રહ્યો છે 😢,charotari
48,આ મહેસાણી ભાષા નથી,charotari
49,ભાઈ શ્રી આ ભાષા નથી મહેસાણા ની,charotari
50,🌹ખુબ સરસ 🌹🙏જયમાતાજી 🙏🌹,charotari
51,આ રોડ પરથી દિવસભર એમ્બ્યુલન્સની અવરજવર રહેતી હોય છે,standard_gujarati
52,સુપ્રીમ કોર્ટના નિર્દેશો ચૂંટણી અધિકારી અવગણ્યા છે,standard_gujarati
53,🎉🎉જય ગુરુ મહારાજ ધીરુભાઈ 🎉🎉,surti
54,લોકોએ કામ સિવાય બહાર નીકળવાનું ટાળ્યું હતું,standard_gujarati
55,તેમણે આ વાતને સમજાવવા માટે અમેરિકાના પૂર્વ રાષ્ટ્રપતિ હર્બટ હુવર અને શાસ્ત્રી શ્રી આનંદપ્રિયદાસજી સ્વામીના ઉદાહરણો આપ્યા હતા,standard_gujarati
56,આ મ હે સા ના ની ભા શા નથી,charotari
57,સુપર આક્ટિંગ થી મજા આવીગઇ vah,charotari
58,મેહસાણા  ની ભાષા  સરસ શે ભાઈ,charotari
59,હું કે ક્યાંથી સૂરત થી હા સુરત થી ❤🔥🔥🔥😎,surti
60,"આ પ્રસંગે, આચાર્ય સંકેતભાઈ સુથાર અને શાળા પરિવારે સ્વામી વિવેકાનંદની પ્રતિકૃતિ અર્પણ કરીને તાલુકા પ્રાથમિક શિક્ષણાધિકારીનું સન્માન કર્યું",standard_gujarati
61,હોકી સ્ટેડિયમ માટે ગાંધીનગરમાં જમીન શોધાઈ રહી છે,standard_gujarati
62,આ પ્રદર્શન દ્વારા દર્શાવવામાં આવ્યું હતું કે કેવી રીતે એક નાનો વિચાર દર્દીઓની સારવારમાં મોટું પરિવર્તન લાવી શકે છે,standard_gujarati
63,બાળકો શાંતિના વાતવરણમાં પરીક્ષા આપી શકે એવું પ્લાનિંગ વિદ્યાર્થીઓ ગભરાઈ જાય નહિ એ માટેનું આગોતરું આયોજન કરવામાં આવશે,standard_gujarati
64,"સોશિયલ મીડિયામાં યુનિવર્સિટનાં આ દાવાને ભ્રામક ગણાવતા આયોજકો
પર કાર્યવાહી કરવાનું દબાણ ઉભું થઈ ગયું હતું",kathiawari
65,આરોપીએ બેકારીને પહોંચી વળવા આ મુદ્દામાલ પણ સસ્તા ભાવે વેચી દીધો હતો,standard_gujarati
66,"કરોડના “િવકસિત ગુજરાત
ફંડ”ની જાહેરાત સાથે સરકારે રાજ્યના લાંબાગાળાના વિકાસની મજબૂત કલ્પના કરી છે",kathiawari
67,"ખાડિયામાં એકમાત્ર મ્યુનિસિપલ કોર્પોરેશનનો પાર્કિંગ માટેનો પ્લોટ છે, જે ખાડ વાહન પાર્કિંગ માટેની ખૂબ જરૂરિયાત હોવા છતાં પણ ખાડિયામાં કોર્પોરેશનના પ્લોટનો ઉપયોગ મુદ્દામાલ અને ભંગારના વાહનો મુકવા માટે કરવામાં આવી રહ્યો છે અને જે ભંગારના વાહનોમાં આગ લાગવાની ઘટના પણ તાજેતરમાં બની હતી",standard_gujarati
68,"""બીડી નથ પીવી હાલ નીકળ....""🤣🤣🤣👌",charotari
69,ઓડીયન્સમાં કેશરી કલરમાં બેઠેલા છે કઈ સ્કૂલનું યુનીફોર્મ છે..?,surti
70,વસ્ત્રાપુરમાં સુવાસ એપાર્ટમેન્ટમાં રહેતા પ્રિયાંકભાઇ પટેલના મામાના દીકરાના લગ્નપ્રસંગ નિમિત્તે કંકોત્રી લેખનનો પ્રસંગ રાખ્યો હતો,standard_gujarati
71,એટલે આવા સેન્ટરો ચલાવતા લોકોનું અમે સ્ટિંગ ઓપરેશન કર્યું,standard_gujarati
72,nimi vashi ૧) દક્ષિણ ગુજરાત (સુરતી) ૨) પશ્ચિમ ગુજરાત (કાઠીયાવાડ) ૩) N.R.I ગુજરાતી ૪) મધ્ય ગુજરાત (ચરોતરી) ૫) ❌ ૬) ઉત્તર ગુજરાત (પટણી) ૭) પશ્ચિમ ગુજરાત (કાઠીયાવાડ) ૮) N.R.I ગુજરાતી ૯) કચ્છી ૧૦) સુધરેલા મોટા માણસો ની શુદ્ધ ગુજરાતી 🤣😅,charotari
73,રમેશ મહેતા જે રાજા ભોજ ની વાત કરે છે એ કયા ફિલ્મ નો સિન છે......,charotari
74,માલ કોણે મોકલાવ્યો હતો અને ક્યાં પહોંચાડવાનો હતો,kathiawari
75,ગુજરાત નું શાન્તિ નિકેતન,charotari
76,"સાવ બક્વાસ,એક પણ વાર હસવું ન આવ્યું.એકલી પીંજણ અને સલાહો જ દીધી.લાઇન બદલો.",surti
77,ભાઇ જંગ હલાવી દીધૂ જય ગરવી ગુજરાત,surti
78,જય સ્વમિનારાયણ ❤❤,surti
79,"કચ્છી માં તો વાક્ય બોલો યાર, અમને કા ભૂલી જાઓ છો, વાક્ય:- માં મને એક ગ્લાસ પાણી આપશો...!! કચ્છી માં ભાષાંતર:- માં મોકે હેકડો ગ્લાસ પાણી ડેઈને...!!",charotari
80,"િવકસિત ગુજરાત ફંડ
માટે પણ મોટી ફાળવણી સૌરાષ્ટ્રનો દરિયાકાંઠો કચ્છ અને સુરત એમ કુલ છ પ્રદેશોને ગ્રોથ હબ તરીકે વિકસાવવા માટે
ઓળખ કરવામાં આવી છે",kathiawari
81,વાહ સારું પણ દૂપ શ્રદ્ધા નો વિષય છે મચછર માટે નથી નાના મજાક માટે કોઈ ની શ્રદ્ધા ને ઠેશ લાગે 🙏,charotari
82,અંતે મહા આરતી અને પ્રસાદ સાથે ભગવાન શિવના જયકાર સાથે કાર્યક્રમ સંપન્ન થયો,standard_gujarati
83,પરિણામે ચોમાસામાં તમામ વેપારીઓની દુકાનમાં પાણી ભરાઈ જવાની શક્યતા વેપારીઓ જોઈ રહ્યા છે,standard_gujarati
84,"જોકે
ભગવાનને અર્પણ થઈ ગયા પછી આ ફૂલોની અવદશા થાય છે",kathiawari
85,જો તંત્ર દ્વારા કડક પગલાં લેવામાં નહીં આવે તો આગામી સમયમાં જન આંદોલનની ચીમકી પણ ઉચ્ચારવામાં આવી છે,standard_gujarati
86,ખાસ કરીને ઉત્તર ગુજરાતમાં તાપમાનનો બદલાવ જોવા મળી શકે છે,standard_gujarati
87,"એક સત્તાવાર આવી કોઈ ઘટના વિશે ઇનકાર છતાં એક ઇન્ટરવ્યૂમાં
કૂપરે પોતાના દાવા પર અડગ રહેતા કહ્યું હતું કે તેમના પાસે હુમલાની પુષ્ટિ કરતા અનેક પુરાવા છે",kathiawari
88,સરસ. મજા કરાવી દીધી.,kathiawari
89,"ઁ      સોમનાથને ગ્લોબલ
ડેસ્ટિનેશન તરીકે વિકસાવવા અને સોમનાથ સ્વાભિમાન પર્વની ઉજવણી માટે રૂ",kathiawari
90,"વાહ જબબરજસ્ત, મજા આવી ગઈ",charotari
91,મને મજા પડી જય રણછોડ,charotari
92,બો ભારે ગીત લાલા. ❤. Keep it up 💪,surti
93,બાથરૂમ પાસે તમારા પપ્પા નો ફોટો તમારા પપ્પા નો તો ભલે હોય પણ મંદિર પણ બાથરૂમ પાસે 😂😂😂😂😂 પણ તમે વિડિયો બહુ જ સરસ બનાવો છો 🎉😂😂😂,surti
94,વિરમગામ પાલિકાના ચીફ ઓફિસર ચીફ ઓફિસર જયેશ પટેલની સીધી સુચનાથી વિરમગામ શહેરને પ્રતિબંધિત પ્લાસ્ટિક મુક્ત કરવા હલકી ગુણવત્તાના પ્લાસ્ટિકના ઝભલા તેમજ અન્ય વસ્તુઓનું વેચાણ કરતા ઈસમો પર વોચ રાખવામાં આવી રહી છે,standard_gujarati
95,જય સ્વામીનારાયણ,surti
96,ભાઈ એક વિડિયો. પાગલ લવરિયા પર બનાવો Love માં આત્મ હત્યા કરે છે. એ લોકો માટે વિડિયો બનાવો please... Bhai,surti
97,"જીનિવામાં પરમાણુ સમજૂતી પર વાતચીતના બીજા દિવસે અમેરિકાના ઉપરાષ્ટ્રપતિએ કહ્યું
હતું કે, કેટલાક મહત્ત્વના મુદ્દાઓ પર હજુ સહમતી બની શકી નથી",kathiawari
98,હા મોજ હા 👌ધીરુ ભાઈ ❤️👍,surti
99,સાવ કેવી નિમ્ન ધર્મ ની હસી કરે છે,charotari
100,આ બેઠકમાં તેમણે શૈક્ષણિક ગુણવત્તા સુધારવા અને શિક્ષણ પદ્ધતિઓને વધુ અસરકારક બનાવવા અંગે માર્ગદર્શન પૂરું પાડ્યું,standard_gujarati
101,સત ની વાણી જય હો ગોપાલ બાપુ,charotari
102,"જંગલેશ્વર
વિસ્તાર અગાઉ રાંદરડા તરીકે ઓળખાતો હતો",kathiawari
103,આવી જ રીતે ઉંધુ બને તો. ઉલટું મહેસાણા માં કાઠીયાવાડી ભાષાનો આદર થાય છે કલાકાર ને સીમા નાં હોય પણ કલાકારે સીમમાં જ,charotari
104,ભાઈ મોજ કરી નાખી હો,surti
105,બબીતા અને જેઠાલાલ નું ચક્કર એડ કર્યું હોત તો વધારે મજા આવત,surti
106,ખાસ કરીને રાયપુર અને આસ્ટોડિયા આવતા લોકોને વાહન પાર્કિંગ કરવા માટે જગ્યા જરૂરી છે,standard_gujarati
107,આપણે તો ભાઈ બાડોલી નાચ છીએ,surti
108,જમાઈ ઘેલા સાસુ 😃 જબરદસ્ત performance 😂,charotari
109,જય જય ગરવી ગુજરાત....❤️❤️❤️❤️❤️,surti
110,"હુવરે ટાઇપરાઇટર શીખીને નોકરી શરૂ કરી, પૈસા કમાયા અને પાછળથી પોતાની ઇચ્છા મુજબની એન્જિનિયરની નોકરી પણ મેળવી",standard_gujarati
111,24 મીનીટ જલદી થઈ જાય જય હિદ🇮🇳 વંદેમાતરમ,surti
112,"સમગ્ર રાજ્ય સાથે ભાવનગર શહેર જિલ્લામાં પણ આ વખતે ઠંડી મોડેથી શરૂ થઈ હતી અને હાલમાં છેલ્લા બે સપ્તાહ કરતાં વધુ સમયથી ઠંડીનો ચરમ સમય ચાલી રહ્યો છે, ત્યારે આવનાર ફેબ્રુઆરી માસમાં પણ ઠંડીથી રાહત મળે એવી સંભાવના નહિવત્ જોવાઈ રહી છે",standard_gujarati
113,હની સિંહ નો બાપ....😂😂😂,surti
114,લઘુત્તમ તાપમાનમાં કોઈ મોટો ઘટાડો કે મહત્વપૂર્ણ ફેરફાર થવાની સંભાવના નથી,standard_gujarati
115,ભાઈ નુ મગજ ગાસ ચરવા ગયુ છે આપણી ભુલ એ છે કે આવા ગાંડા માણસ ના કાર્યક્રમ જોવા સાંભળવા જઈ એ છિયે,charotari
116,કાચનો દરવાજો ખોલતા જ સામે રિસેપ્શન હતું,standard_gujarati
117,મજાક ને મજાક ની જેમ લેવા વિનંતી 🙏,charotari
118,વેસ્ટર્ન ડિસ્ટર્બન્સને કારણે આજ રાતથી રાજ્યમાં ઠંડીનું પ્રમાણ વધશે,standard_gujarati
119,"ઈડીએ આરોપ મૂક્યો હતો કે, આઈપેકની ઓફિસમાં કોમ્પ્યુટર ડેટાનું બેકઅપ લેતાં રોકાયા હતા,
તો સીસીટીવી સ્ટોરેજનાં ડિવાઈસ હટાવી દેવાયાં હતાં",kathiawari
120,"ઓહો, ધીરુભાઈ યુટ્યુબ ટ્રેન્ડિંગ માં, વાહ...",surti
121,૧૦૦ વર્ષ પહી આ ગાયન વણસે તોય નવું લાગશે,surti
122,Aa vidio ડિલીટ કરો,charotari
123,"માટે
નજીકનાં ભવિષ્યમાં આ પ્રોજેક્ટ અમે ત્રણ મહિનાના પ્રાયોગિક ધોરણે શરૂ કરવા જઈ રહ્યા
છીએ",kathiawari
124,બબીતા અને જેઠાલાલ વિષે વિડીયો બનાવો,surti
125,પરંતુ જે તે સમયે તમે જે વેન્ડર્સનું આઇડેન્ટિફિકેશન કર્યું હતું અને સર્ટિફિકેટ આપ્યા હતા એમના રિ-આઇડેન્ટિફિકેશનનો હવે કોઇ પ્રશ્ન જ થતો નથી,standard_gujarati
126,હા મોજ ગુજરાતી હિપ હોપ 😎🔥🤟💫💯,surti
127,"સિદ્ધાંત ચતુર્વેદીએ બોલિવૂડમાં 10 વર્ષ પૂરા કર્યા છે અને હવે તે યુવરાજ
સિંઘની બાયોપિક ફિલ્મ તરફ આગળ વધી રહ્યો છે",kathiawari
128,મોરબી ખાતે માળખાકીય સુવિધાઓ માટે રૂ,kathiawari
129,સાચી વાત છે ભાઈ 🎉,charotari
130,દરેક જિલ્લાની ‘પશુ કલ્યાણ સમિતિ”ને સહાય માટે રૂ,kathiawari
131,આગામી ત્રણ દિવસમાં લાઈન રિપેર કરી પાણી વિતરણ શરૂ કરી દેવામાં આવશે,standard_gujarati
132,"આ પ્રસંગે દાનની સરવાણી
વહેતી થતાં કુલ રૂ",kathiawari
133,માયાભાઈ તમે હાસ્યરસ નય પણ વિરરસ તથા સાહિત્ય ની વાતો કરશો તો ખરેખર મોજ આવી જાય હો.,charotari
134,"ધોરણ ની વિદ્યાર્થિનીઓ માટે ‘નમો લક્ષ્મી’ હેઠળ કરોડ અને વિજ્ઞાન
પ્રવાહના વિદ્યાર્થીઓ માટે ‘નમો સરસ્વતી’ હેઠળ રૂ",kathiawari
135,વાહ નવસાદ બાપુ વાહ,surti
136,Maya bhai લોકોને હસાવવા માટે રામાયણ નો ઉપયોગ ન કરાય,charotari
137,"🇮🇳📄🖋️ કલા અને કારીગરી ની દૂનિયા અલગ હોય છે. એને અમૂક જ સમજી શકે. તમારા ગીતો માં 🎶🎵🎵 દેશ પ્રેમ, શહેર પર નો પ્રેમ, ગામ પર નો પ્રેમ, અને ગુજરાતી અને ગુજરાત પ્રત્યે નો પ્રેમ તમારી રચના અને ગીતો માં દેખાય છે. હા સૂરત શહેર હા તમારૂં ગામ ભાઈ ભાઈ",surti
138,ભાઈ online game dream11 ઉપર 1 વીડિયો બનાવો ને એમાં 1 youtuber છે બેનસોદ અનુરાગ દિવેદી બોવ paid team આપીને વીડિયો બનવે છે તો એવા ઘુતારા ઉપર ગાળો ઠોકતો વીડિયો બનાવો ને pless,surti
139,આવી મજાક મસ્તી વાળા કલાકાર ને સ્ટેજ પર થી નીચે ઉતારવો જોઇએ.. સાંભળવા વારા ને પણ થોડીક શરમ આવવી જોઇએ.. ઘણી વખત માયા એ માફી માંગી છે..,charotari
140,આવુ બધુ હોયતો મારે,charotari
141,ધીરુભાઈ  જયશ્રી ચામુંડા માતા જી,surti
142,અવકાશમાં વાદળો છવાઈ જવા સાથે ઠંડીનું પ્રમાણ ઘટી જવા પામ્યો છે અને વાતાવરણ ધૂંધળું બન્યું છે,standard_gujarati
143,આટલા બધા મોજીલા ન થવાય કે ઘરના સામે ગાળો બોલે,surti
144,ખુબ સરસ અમીત ભાઈ,charotari
145,સિદ્ધાર્થ સર ની મજા જ કંઈક અલગ છે..,charotari
146,વળી ભદ્રમાં ટ્રાફિકને લઈને પાથરણાં વાળાને બેસવા દેવાય નહીં,standard_gujarati
147,હાવ સાચું છે હો અમે અમદાવાદના તમે ક્યાંના,charotari
148,વાહ પ્રિય મિત્ર નવસાદ ભાઈ,surti
149,જોરદાર મજા આવી ગઈ❤❤❤❤❤❤,surti
150,નવા કાયદાના અસ્તિત્વમાં આવ્યા બાદ અમદાવાદ મહાનગરપાલિકા ફેરિયાઓને ત્યાંથી હટાવી શકે નહીં,standard_gujarati
151,મસ્ત વિડિયો જય આદિવાસી❤❤❤,surti
152,પંજાબી માં પ્યારા લાગો છો,surti
153,આ રોબોટ છાત્રોને વિદ્યાર્થીઓને પ્રેરણા આપવા રજૂ કરવામાં આવ્યો હતો,kathiawari
154,👌👌આખા ઘર માં આ બાથરૂમ જ એવી જગ્યા છે કે જ્યાં માનસિક શાંતિ મળે 😃😃,charotari
155,"18:
ખંભાળિયા તાલુકાના હર્ષદપુર ગામમાં રહેતા અને કડિયા કામની મજૂરી કરતા હીરાભાઈ રામજીભાઈ
નકુમ નામના 58 વર્ષના શ્રમિક પોતાનું મોપેડ લઈને જામનગર પડાણા ગામના પાટીયા પાસેથી
પસાર થઈ રહ્યા હતા",kathiawari
156,"પંડિત રાજન મિશ્રા અને કાકા પંડિત સાજન મિશ્રાના
માર્ગદર્શન હેઠળ ગાયકીની તાલીમ મેળવનાર પંડિત રીતેશ અને પંડિત રજનીશ રાજન મિશ્રા પ્રસ્તુતિ
કરશે",kathiawari
157,"આ વીડિયો મે 10 વાર જોયો છે, બો મજા આવી ગઈ. ભગવાન તમને તંદુરસ્ત રાખે",surti
158,આનો વિરોધ કરવો જોઇએ,charotari
159,ગુરૂકુળ જે તમારા જેવા ને નહિ સમજાઈ,surti
160,તમે રામાયણ a ને મજાક ઉડાવો સોં લુખેસ 😜 ટુ પોતાને મહાન સમજે સે ટુ સાચો કલાકાર નથી ટુ ઠગ 😜સે કારણ તમે શ્રી રામ ની અને સીતા માં 🙏 મજાક ઉડાવી સે કોઈ પણ ભાસા હોય ભગવાન ને to બધા માને સે 👍 પસી ગમેતે જિલ્લા ના ના હોય ટોપા 👌🙏,charotari
161,આ બધું  જુનુ  થય ગયું છે,surti
162,પરંતુ ગ્લોબલ વોર્મિંગ અને વૈશ્વિક સ્તરે સતત બદલાઈ રહેલ આબોહવાના કારણે વાતાવરણમાં ધરખમ ફેરફારો નોંધાઈ રહ્યા છે,standard_gujarati
163,વાહ ધીરુભાઈ વાહ સૌરાષ્ટ્ર નું ગૌરવ,surti
164,"આ રસ્તો બાદ કરતા જે લોકો રહે છે તેને જંત્રી મુજબના ભાવ આપી રેગ્યુલરાઇઝ્ડ
કરી આપવા મિટિંગ કરી હતી ત્યારે કોઈ રહેવાસી જંત્રી મુજબ પણ ભાવ ભરી શકે તેમ ન હોવાથી
મંત્રી મનોહરસિંહે ટોકન ભાવે જગ્યા આપવા રજૂઆત કરી હતી",kathiawari
165,આ લોક સાહિત્ય નથી. આ એક બોલી ની મજાક ઉડાવે છે. આને લોકસાહિત્યકાર ન કહેવાય. 😢😢,charotari
166,જેટલા આવડતા હે એટલા બોલનેકા 🤣🤣,charotari
167,અમદાવાદી ભાઈ મજા પડી...,charotari
168,"તેનો તિરસ્કાર કરો
મોરારિબાપુ ને જણાવો.",charotari
169,હજી અવાજ ભારે વિડિઓ બનાવો,surti
170,"માં વહી જતું રાવી નદીનું બચેલું પાણી પણ સંપૂર્ણપણે અટકી
જવાનું છે અને તેનો ઉપયોગ પછી જમ્મુ-કાશ્મીર અને પંજાબની સૂકી જમીનોની સિંચાઈ માટે
થવાનો છે",kathiawari
171,એ નવા વર્ષના રામ રામ,charotari
172,માયાભાઈ સાચું કહું છે!,charotari
173,સાચી વાત કરી છે ભયલા,charotari
174,માયાભાઇ મહેસાણા ની ભાષા નથી,charotari
175,મહેસાણા ની ભાષા બોલીવી હોયતો મહેસાણા મા જન્મ લેવૉ પડે,charotari
176,ઘટનાન માહિતી મળતાં જ વન વિભાગના અધિકારીઓ અને સ્ટાફ ઘટના સ્થળે દોડી આવ્યા હતા,standard_gujarati
177,"શહેરના
કાલાવડ રોડ ઉપર અમરેલી ગામ ખાતે શિલ્પા જ્વેલર્સવાળા પ્રિતિબેન પ્રભુદાસભાઈ પારેખ દ્વારા
દાન અપાયેલી એક એકર જેટલી જમીનમાં આજે પેલિએટિવ કેર સેન્ટરના ભૂમિ પૂજન પ્રસંગે આર્ષ
વિદ્યામંદિરના સ્વામી પરમાત્માનંદ સરસ્વતી તેમજ જીગ્નેશ દાદા, ભરત બોઘરા, રમેશ ટીલાળા
સહિતના મહાનુભાવો ઉપસ્થિત રહ્યાં હતા",kathiawari
178,થોડા શોટ સમય માં તમારું કન્ટેન્ટ બનાવો.,charotari
179,અહીં ખેલાડીઓ માટે હોસ્ટેલની પણ સુવિધા હશે,standard_gujarati
180,ગુજરાતી અભિનેતા રમેશ મહેતા નંબર વન હાસ્ય કલાકાર ફિલ્મો માં I Miss You Old Is Gold,charotari
181,વનસ્પતિનો ખોરાક આપણાથી છિનવાય નહીં તેવું જીવન જીવતા રહીશું.જય યોગેશ્વર.,surti
182,એક જાત નો લુખ્ખો છે,charotari
183,"ગરીબ અન્નદાતા અને નારીશક્તિ એટલે કે ‘ઋઢઅગ’ને
ધ્યાનમાં લેવાયા છે સ્તંભને આધિન તૈયાર કરાયું છે",kathiawari
184,બોલીવુડ માં પહોચવું જોઈએ હવે ગુજરાતી રેપર.. full support,surti
185,તાલુકો નડીયાદ જીખેડાગામદેગામરાઠોડકનુભાઈ કે મિત્રો ને વિનંતી જય ખોડીયાર માં,charotari
186,પરંતુ તમે જે સરવે કરીને કોર્ટ સમક્ષ રજૂ કર્યો હતો અને કોર્ટે આદેશ કર્યા હતા,standard_gujarati
187,અધ્યક્ષ મહેન્દ્રભાઈ પટેલે આયોજકો અને સેવકોનો આભાર માન્યો,standard_gujarati
188,આ રૂપિયા તેણે અંગત લાભ માટે લઈને શિરીષભાઈ સાથે ઠગાઈ કરી હતી,standard_gujarati
189,આ સાથે જ મોબાઇલ નંબર પણ આપવામાં આવ્યો હતો,standard_gujarati
190,લાગવાની ઘટના બાદ પણ આખો પ્લોટ ખૂબ ખરાબ હાલતમાં છે,standard_gujarati
191,"કેટલાક વિસ્તારોમાં પાણી આગળના ગામોમાં પહોંચવામાં મોડું પડતું હતું, જેના કારણે સિંચાઈ વ્યવસ્થા ખોરવાઈ ગઈ હતી",standard_gujarati
192,"4:45 , હેન્ડ શેક કર્યો તો એમને લાગ્યું કે હાથમાં લખોટી કેમ પકડી છે",surti
193,"જેઓ પૂર્વ પીએમ ખાલિદા જીયા અને પૂર્વ રાષ્ટ્રપતિ
જિયાઉર રહેમાનના પુત્ર છે",kathiawari
