id,sentence,dialect,label
286,"ખેતરોમાં ઝેરી પાણી ભરાઈ જવાના કારણે તૈયાર થયેલો પાક બળી ગયો છે, જેનાથી ખેડૂતોને આર્થિક ફટકો પડ્યો છે",standard_gujarati,1
141,કરન ગિરીશભાઈ પટેલ (આપણો કાંઠાનો કોળી પટેલ ),surti,2
992,અમીત ભાઈ  સુરતની એક ખાસ મજાની વાત એ છે કે    રાતના ત્રણ વાગ્યે પણ તમે એમ કહેશો ને કે ભાઈ મને ચાય પીવી છે  તો તમને એમ  સાંભળવા મળસે કે હા  ભાઈ ચાલો સ્ટેસન પર જઇએ,surti,2
1162,આ કાર્યક્રમ માંડલ અને વિરમગામના વિવિધ વિસ્તારોમાં પર્યાવરણ જાગૃતિના હેતુથી યોજાયો હતો,standard_gujarati,1
495,આ મામલાની ગંભીરતાને જોતા તેમણે તાલુકા વિકાસ અધિકારીને પણ લેખિત રિપોર્ટ સુપરત કર્યો છે અને જવાબદારો સામે કાયદેસરની કાર્યવાહી કરવા માંગ કરી છે,standard_gujarati,1
791,માયા ની માયા મોય ગઇ મારો રામ,charotari,0
1207,મરેલી માછલીઓ તળાવની સપાટી પર તરતી જોવા મળતા ગ્રામજનો સ્તબ્ધ થઈ ગયા હતા,standard_gujarati,1
854,જો કોઈ કારણસર તેઓ સક્રિય નહીં થાય તો સભ્યો પોતે જ બિલ્ડિંગની અંદર આવશે અને શ્રીલંકાના ઈસ્ટર આત્મઘાતી ઓપરેશનની જેમ તમામ સ્ટાફ સાથે પોતાને વિસ્ફોટ કરશે,standard_gujarati,1
612,જોરદાર ભાઈ ઘેરાયા વાળા ની જેમ લાગે,surti,2
559,મેં પણ ઘણીવાર જોયો 😀😀😀😀,charotari,0
661,અયોગ્ય પ્રક્રિયાઓ સામે આવેલી અરજી ઉપર કોર્ટ મૂક પ્રેક્ષક બની શકે નહીં,standard_gujarati,1
824,જીગનેશ દાદા લાલાભાઈ  કોટી કોટી વંદન,surti,2
184,માંડ એક મિનિટ કરતા પણ ઓછા સમયમાં આ યુવતી બહાર આવી અને ઓફિસની અંદર બેસેલા એક મેડમને મળી આવવા કહ્યું,standard_gujarati,1
86,પણ દિવ્ય ભાસ્કરના ઇન્વેસ્ટિગેશનમાં કેમેરા સામે એવા ભેજાબાજ લોકો ખુલ્લા પડ્યા છે જેઓ શૈક્ષણિક વ્યવસ્થાની ઘોર ખોદવા બેઠાં છે,standard_gujarati,1
377,"હવામાન વિભાગના જણાવ્યા અનુસાર, હાલમાં મધ્ય મહારાષ્ટ્રથી દક્ષિણ હરિયાણા સુધી એક ટ્રફ સિસ હાલમાં માછીમારો માટે કોઈ ચેતવણી નહિ આ ઉપરાંત, ઉત્તર પાકિસ્તાન ઉપર એક વેસ્ટર્ન ડિસ્ટર્બન્સ સર્જાયું છે, પરંતુ તેની રાજ્યના હવામાન પર કોઈ ખાસ અસર થવાની શક્યતા નથી",standard_gujarati,1
371,મેઇન્સ પરીક્ષામાં જીકે અને કોમ્પ્યુટર સાયન્સનો સમાવેશ થાય છે,standard_gujarati,1
699,My મોટા ભાઇ નાજયસામીનારાયન🌹🙏,surti,2
1374,આ તો વેવલો જ છે. એની ગરવલીથી દુઃખી લાગે છે અને અહી વરાળ નીકળી છે,charotari,0
963,જય શ્રી મહાકાળી માં..💓❣️,charotari,0
1185,હલકા ને કો પેલા મહેસાણા ની ભાષા બોલતા શીખે,charotari,0
38,મહેસાણી ભાષા ના આવડે તમને gj2,charotari,0
1438,બીજા વાળા કોમેડી વિડીયો મોકલવા માટે વિનંતી,charotari,0
1244,આ મહેસાણાની ભાષા નથી.,charotari,0
708,"આમ છતાં બંને પક્ષો પોતાની વાત ઉપર અડગ રહેતા હાઇકોર્ટે કહ્યું હતું કે, કોર્ટ ફાઇલ જોઈને જાતે નિર્ણય કરશે",standard_gujarati,1
975,વાહ વાહ ભાઈ વાહ 😂,surti,2
1219,ખુબજ મજા આવે છે😅😮😊,charotari,0
870,ભાવનગર વાળા like કરજો,surti,2
302,જય માતાજી બધા ભાઈઓ ખૂબ ખૂબ આભાર પ્રગતિ માનું છું આગળ વધો એવી પ્રાર્થના કરું છું 🙏 જય માતાજી પ્રાર્થના કરું છું 🙏❤️,surti,2
1337,વેસ્ટર્ન ડિસ્ટર્બન્સને કારણે વાદળછાયુ વાતાવરણ સર્જાઈ શકે છે,standard_gujarati,1
190,રામાયણની કાપવા વાળુ એક પેદા થયુ,charotari,0
1348,જેના કારણે ગુજરાતમાં ઠંડા પવનો ફૂંકાઈ રહ્યા છે,standard_gujarati,1
1202,આપણે સોમનાથ સ્વાભિમાન પર્વની ગૌરવમય ઉજવણી કરી રહ્યાં છીએ,standard_gujarati,1
749,એ ટાઉન વેન્ડિંગ કમિટીની ભલામણ અને પ્લાનિંગ ઓથોરિટી સાથે પરામર્શ બાદ રિ-સરવે કરી શકે છે,standard_gujarati,1
279,આ બે ભાઈ ના બીજો પાર્ટ 2 બનાવો 😊,surti,2
376,તમારા બધા જ ડાયરાઓ સાંભળો છો પણ આ ડાયરામાં જેટલી મજા આવીને એટલે કોઈપણ ડાયરા મજા નથી આવી કવિરાજ,surti,2
18,આરોપી પહેલા લિફ્ટ રિપેરિંગનું કામ કરતો હતો પરંતુ કામધંધો ન હોવાથી ઢળતી ઉમરે ચોરીઓ શરૂ કરી હતી,standard_gujarati,1
651,ગાંધીનગર સ્થિત ગિફ્ટ સિટીની અંદર પણ મેટ્રો રૂટનાં કામને પ્રાથમિકતા અપાશે,standard_gujarati,1
455,મહેસાણા ની ભાષા બોલીવી હોયતો મહેસાણા મા જન્મ લેવૉ પડે,charotari,0
74,ધંધુકા તાલુકાના ફેદરા ગામ નજીક ગઈ કાલે સાંજે આશરે 5 વાગ્યાના સમયે એક દીપડાનો મૃતદેહ પાણી ભરાયેલા ખાડામાંથી મળી આવતા વિસ્તારમાં ભારે ચકચાર મચી ગઈ હતી,standard_gujarati,1
323,આ કાર્યક્રમમાં ૨૦૦૦થી વધુ નાગરિકો હાજર રહ્યા હતા,standard_gujarati,1
982,@jaydeepjd5300 ભૈલા ક્લિક થાય પછી ડિસ્કલેઇમર આવે...થમ્બનેઇલ મા જ લખી દે ગાળો છે એમ...,charotari,0
1465,ચોટીલા માં આવજો માયા ભાઈ,surti,2
1065,"બોર્ડની પરીક્ષા દરમિયાન બોમ્બથી ઉડાવી દેવાની ધમકી મળે ત્યારે પોલીસે શુ કરવું, વિદ્યાર્થીઓમાં ડર ઊભો થાય નહીં એ માટે શું કરવું જેવી અનેક બાબતોને લઈને ઊંડાણપૂર્વક ચર્ચા થશે",standard_gujarati,1
443,માથાભારે ટ્રકટર વડા ભાગ કોન કોન ગમે છે અને એ આજ સુધીના. બધા ભાગ કોન કોન જોયા છે,surti,2
663,જેમાં પક્ષકારોએ ઉમેદવારી પત્રો ભર્યા હતા,standard_gujarati,1
512,આ કલાકાર તો સ્ટેજ પર રજૂ કરે છે આજે રામાયણ આપડે પરિવાર ને સંભાળવાની છે,charotari,0
889,પાર્ટનર મૂડ માં નથી લાગતા આજે 😅,charotari,0
1270,જેટલા પણ અવાજ છે એ બધા સ્મિત જ કાઢે છે ભાઈ.,surti,2
79,આ મહેસાણી ભાષા નથી,charotari,0
1289,વાહ    ધીરુભાઈ    વાહ,surti,2
148,"ગધેડા ,

ઝવેરચંદ મેઘાણી, પન્નાલાલ પટેલ, ઉમાશંકર જોશી, ની રચનાઓ સાભરી છે કોઈ દિવસ કે નીકળી પડ્યો છે?

જનની ના હૈયામાં પોઢંતા પોઢંતા...❤
शौर्य रस ,करुण रस, वीर रस।  जिस साहित्य में है वह गुजरातहै।",surti,2
572,સારી એમ બોલતા શીખી લે પહેલા,charotari,0
1245,"ચૌધરી,ગામીત,વસાવા,ભીલ,કુંકણા",charotari,0
320,"આ ભાઈ એ પણ ચૂંટણી વાળો જોક્સ મારી દીધો. એક કાકા ના ઘરના ગુજરી ગયાં એને 16 વર્ષ થયા પણ જ્યારે ચૂંટણી આવે ત્યારે કાકી ના નામ નું વોટિંગ થઈ જાય . ચૂંટણી વાળો કાકા ને કહે કે તમે થોડા મોડા આવ્યા કાકી હમણાં જ  વોટ આપી ને ગયા 
😂😂😂🤣🤣",surti,2
1048,અદભુત માયા તારી માયા,charotari,0
1306,આ સ્વાભિમાન પર્વ સાથે પ્રત્યેક ગુજરાતી ગુજરાતના ગતિમાન વિકાસનું ગર્વ લઈ શકે તેવું સર્વ સમાવેશી બજેટ આપવા માટે નાણાંમંત્રી અને તેમની સમગ્ર ટીમને અભિનંદન આપું છું,standard_gujarati,1
1164,સર્જી આ ભાષા મહેસાણા ની છે. પણ લોકલ ભાષા નથી.આપ જે બોલો છો તે વાઘરી ની ભાષા છે.,charotari,0
972,અરે વાહ વિજુબેન તમે તો કમાલ કરી છે ધનસુખભાઈ ભંડારી તમે તો એક્ટિંગ કરવા માં એકદમ માહેર છો  superb Excellent.,surti,2
185,છેલ્લા ત્રણ મહિનાથી સતત જે સ્કૂલોને ધમકી મળી રહી હોય ત્યાં તંત્ર દ્વારા વધુ ધ્યાન આપવામાં આવશે,standard_gujarati,1
372,સૌરાષ્ટ્ર માં કાઠીયાવાડી બોલી બોલિયા છે,charotari,0
915,એટલે બે પેજ જેવું એમાં આન્સર લખવાના આવશે,standard_gujarati,1
118,જેમાં શિવ સાગર કોલ્ડ સ્ટોરેજમાંથી કેમિકલ છોડવાથી લાખની સંખ્યામાં માછલીઓનું મોત થયું છે અને બીજીવાર આ ઘટના ન બને એની કોલ્ડ સ્ટોરેજવાળાએ બાહેંધરી લીધી છે,standard_gujarati,1
1081,કુંભાર વાડે ગેલી રે સવલી ખાડુ કોડીયુ લાવી,surti,2
221,સત્ય વક્તા હકાભા ગઢવી,surti,2
285,"સુરતી, મહેસાણી અને કાઠિયાવાડી મિક્સ",charotari,0
1250,માંડલ તાલુકાના જાલીસણા અને સીતાપુર ગામોની વચ્ચેમાંથી પસાર થતી સરદાર સરોવર નર્મદા નિગમની ઝીંઝુવાડા શાખા નહેર ઘણા સમયથી ગંદકીમાં ફસાઈ ગઈ હોય તેવું દ્રશ્ય સર્જાયું હતું,standard_gujarati,1
454,અન્યથા તમારું કૃત્ય કોર્ટની અવમાનના જ નહીં કાયદાની જોગવાઇઓથી વિપરીત પણ ગણાશે,standard_gujarati,1
799,ટેક્ટર નો ભાગ લાવો,surti,2
1158,આના દરેક કાર્યક્રમ boycott કરવો જોઈએ.,charotari,0
839,આ વીડિયો ડિલીટ થવો જોયે😢😢😢😢,charotari,0
607,હાર્દિકભાઈ ભૂલશો નહીં મારે પણ ઉઘરાણી બાકી છે. તમારો ખુબ ખુબ આભાર.😮,charotari,0
556,એટલે જ આ પરીક્ષા પાસ કર્યા પછી દેશની કોઈપણ સ્કૂલ કે કોલેજમાં પ્રવેશ મેળવી શકો છો,standard_gujarati,1
158,ટ્રેક્ટર વારો ભાગ મોકલો,surti,2
549,"જય દ્વારકાધીશ.
વાહ માયાભાઈ.🎉",surti,2
611,મહેસાણા ના કોઈ આવુ નથી બોલતુ તમે માયાભાઈ ખોટી બોલી ઊભી નથી કરો ્્્મારા મહેસાણા એ તો દેશને વડાપ્રધાન આપ્યો છે......,charotari,0
553,ખુબ ખુબ ધન્ય વાદ પોપટભાઈ તમને 👍🤝👍,surti,2
423,કોને કોને માથાભારે રીક્ષા વાળો ભાગ ગમે છે જય માતાજી ❤❤❤,surti,2
335,જય શ્રી કૃષ્ણ ખૂબ સરસ પોપટભાઈ ભગવાન તમને 💯વરસ ના  કરે પોપટ ભાઈ ગાડી નો કાચ ખુલો રાખો તો પ્રભુજી ઉલ્ટી ના કરે🙏🙏🙏👌👌,surti,2
69,જાડેજા અને તેમની ટીમે આ સફળતા મેળવી,standard_gujarati,1
1273,મહેશભાઈ ને ભાવથી જય સ્વામીનારાયણ👏,surti,2
244,સાચી વાત છે ભાઈ,surti,2
675,તમારરા બધા ભાગ ગમે ખાલી રોજ વિડિઓ પોસ્ટ કરો😊❤,surti,2
1011,"ધ્રુવલભાઈ ,થોડા દિવસ માં હિના કોઈ તકલા સાથે ચાઇના નું દબ્બુ લઈને જતી દેખાશે......🤣🤣🤣🤣",surti,2
19,જોરદાર વીડિયો છે,charotari,0
389,ભાઈ ભાઈ ભાઈ ભાઈ,charotari,0
812,આભાર માનો કાસંકો નથી રાખ્યો,surti,2
766,અમિત શાહના લોકસભા વિસ્તારની જાણીતી સ્કૂલોને બોમ્બથી ઉડાવવાની ધમકી મળી હતી,standard_gujarati,1
310,જયશ્રી કૃષ્ણ પોપટભાઈ🙏🙏🙏🙏🙏,surti,2
186,અભા ની એક્ટિંગ ગજબ ની સે 😂😂😂,surti,2
867,કોર્ટ ટ્રાફિક સમસ્યા અવગણીને ઓથોરિટીને કાર્ય કરવા પણ કહી શકે નહીં કે કાયદા વિરુદ્ધના કાર્યની મંજૂરી આપી શકે નહીં,standard_gujarati,1
1137,મારા અહીંયા પટેલિયો સેક્રેટરી છે,charotari,0
1003,રાજ્યમાં ફરી એકવાર કમોસમી માવઠાંની શક્યતા વ્યક્ત કરવામાં આવી છે,standard_gujarati,1
565,ગાંધીનગર જિલ્લાના દહેગામ તાલુકામાં પર્યાવરણને ગંભીર નુકસાન પહોંચાડતી એક ચોંકાવનારી ઘટના સામે આવી છે,standard_gujarati,1
1459,હવામાન વિભાગના સ્ટેશન ખાતે વિઝીટ કરવા ગયા ને ચોરીની ખબર પડી ઈન્ડિયન ઈન્સ્ટીસ્યુટ ઓફ ટ્રોપીકલ મેટીઓરોલોજી નામના હવામાન વિભાગના જુદી જુદી જગ્યાએ સ્ટેશનો આવેલા છે,standard_gujarati,1
610,પ્રયત્ન સારો છે...પણ હજી મહેનત માંગી લે છે.,charotari,0
30,મસ્ત વિડિયો છે...અલ્યા હજી જરાક લાંબા વિડિયો બનાવ...તો મજા આવશે....keep it up dude..I like it,charotari,0
827,ગીત તો સુપર છે પણ બેકગ્રાઉન્ડ મ્યુઝિક અને રાકેશ ભાઈ બારોટ સાથે આ હિરોઈન જોરદાર લાગે છે હો.nice jodi,surti,2
1466,આ વચ્ચે પતિએ સરખેજ રોજા ખાતે અન્ય યુવતી સાથે લગ્ન કરી લીધા હોવાની માહિતી સામે આવી છે,standard_gujarati,1
506,એકવાર શરૂઆતમાં કોર્પોરેશન બધાને જગ્યાની ફાળવણી વગેરે કરી લે એના પછી દર પાંચ વર્ષે તમારે સ્ટ્રીટ વેન્ડર્સને પ્રમોટ કરવા પડે,standard_gujarati,1
1209,"@પરબતભાઇકરમુરપરબતભાઈ    ,",surti,2
1115,પહેલા તો આ અમારી મહેસાણા જિલ્લાની ભાષા જ નથી.... બિજુ ઘમૅ ની મજાક ઉડાવિને .. ઘંઘા બંધ કરો,charotari,0
1231,"વાહ સાહેબ, જ્યાં પ્રેમ છે ત્યાં સમસ્યા નથી..ઇસ્ત્રી વાળો પ્રસંગ, સુલતાન ખાન અલ્લાહ માટે સારંગી વગાડ..",charotari,0
697,આભાષા તો મેહસાણા ની નથી,charotari,0
848,"અત્યારે ભલે તાપમાનમાં થોડો વધારો દેખાતો હોય, પણ જાન્યુઆરીના અંતમાં ગુજરાતમાં કાતિલ ઠંડી પડવાની પૂરેપૂરી સંભાવના છે",standard_gujarati,1
674,જય માતાજી હકાભા 🙏🙏,surti,2
1060,ભાગ77 આપો પીલીજ..પેલા ભાગ બધા પુરા કરો ભાઇ,surti,2
568,અરજદારોના વાંધા ઉપર નિર્ણય લીધા વગર ઉમેદવારોની ફાઇનલ યાદી જાહેર કરવી તે લોકશાહીના સિદ્ધાંતોનો ભંગ છે,standard_gujarati,1
634,સુરેન્દ્રનગર નરોડા અને મહેસાણા ની સ્ત્રી ઓ ની ભાષા બહુ ગમ્ય હોઈ છે,charotari,0
665,પોલીસ મહાનિરિક્ષક વિધી ચૌધરી અને અમદાવાદ ગ્રામ્યના પોલીસ અધિક્ષક ઓમ પ્રકાશ જાટના પ્રોહીબીશન પ્રવૃત્તિઓ ડામવાના નિર્દેશો હેઠળ કરવામાં આવી હતી,standard_gujarati,1
969,એક ભાઈ શરીફ સે યાર 😂😂,surti,2
328,વિરમગામ પાલિકાના ચીફ ઓફિસર ચીફ ઓફિસર જયેશ પટેલની સીધી સુચનાથી વિરમગામ શહેરને પ્રતિબંધિત પ્લાસ્ટિક મુક્ત કરવા હલકી ગુણવત્તાના પ્લાસ્ટિકના ઝભલા તેમજ અન્ય વસ્તુઓનું વેચાણ કરતા ઈસમો પર વોચ રાખવામાં આવી રહી છે,standard_gujarati,1
1476,ભાઈ અમિત તમારાં પોતાનાં અવાજ થીજ મિમિક્રી કરો સારા કલાકાર સાબીત થઈ શકો એમ છો 👍,charotari,0
1430,હક્કા ભા ના બાપા સારા હતા એટલે તો હક્કા ભા આટલા સમજ વાળા  છે....જય શ્રી કૃષ્ણ ભગવાન,surti,2
391,સાહિત્ય ને સમજતા શીખો. કવિ અને લેખક ભાષામાં છૂટ લેતા હોય છે. કેમ કે તો જ સાહિત્ય સર્જન થાય.,charotari,0
466,બાર ગામે બોલી બદલાય તમે મહેસાણા નું અપમાન કરી રહ્યા છો.. મોદી સાહેબ પણ મહેસાણા જિલ્લાના છે..,charotari,0
253,અંતે મહા આરતી અને પ્રસાદ સાથે ભગવાન શિવના જયકાર સાથે કાર્યક્રમ સંપન્ન થયો,standard_gujarati,1
829,"મસ્ત વીડિયો
છે  રમણીક ભાઈ આવા જ કોમેડી વીડિયો બનાવો ......લોભી નો માલ ધૂતારા ખાય..... જોર દાર સુપર",surti,2
1124,"તમારી વાત કરો. લે તઈ, એ કાંઈ શુદ્ધ ગુજરાતી ભાષા નથી.",surti,2
763,તમિલનાડુ કોન્સ્ટેબલ અને શ્રીમતી નિવેથા પેથાજને અન્ય ડીએમકે ઉપ પત્નીના કપડાં અને ગંદા વાસણો સાફ કરવાની ફરજ પાડવામાં આવે છે,standard_gujarati,1
1086,લઘુત્તમ તાપમાનમાં કોઈ મોટો ઘટાડો કે મહત્વપૂર્ણ ફેરફાર થવાની સંભાવના નથી,standard_gujarati,1
719,કાકી લોકો બો ભારે જોશ માં ગાઈ😄 ફૂલ એનર્જેટિક,surti,2
504,સાવ નાનપણ મા દૂરદર્શન પર ને રેડિયો પર સાંભળતા ને હવે YouTube મા ય તમને સાંભળી છીએ. પણ હજી તમારા થી ધરાયા નથી બોલો. દર રવિવારે સવારે તમારા વિડિયો ચાલુ કરવાના ... બસ આમ જ તમે અવિરત ચાલતા રહો. ❤,charotari,0
935,પાણી મળતા રવિ પાકને નવજીવન મળ્યુ છે,standard_gujarati,1
1104,તમે બોવ સરસ વિડિયો બનાવો છો. પણ મારી એક વિનંતી છે કે તમે એક વિડિયો જ્ઞાતિ આધારિત થતાં ભેદભાવ વિશે એક વિડિયો બનાવો. 🙏🙏🙏🙏🙏,surti,2
445,સુ ભગત તમારી કોમેડી હો બાપુ,charotari,0
1435,આ ઉત્સાહને કારણે તેમને શ્રી મુક્તજીવન સ્વામીબાપાનો અઢળક રાજીપો પ્રાપ્ત થયો,standard_gujarati,1
270,ઘટનાન માહિતી મળતાં જ વન વિભાગના અધિકારીઓ અને સ્ટાફ ઘટના સ્થળે દોડી આવ્યા હતા,standard_gujarati,1
1396,🎉જોરદાર ચંદુ ભાઈ,surti,2
319,"ધન્યવાદ,મજા આવી ગઈ.",charotari,0
477,ભાઈ તું વલસાડ નો સે 😉,surti,2
276,ધીરુભાઈ ખરેખર પદ્મશ્રી ને લાયક છે મળવો જોઈએ...,surti,2
598,મુસાફરોને એરપોર્ટ જતાં પહેલા તેમની ફ્લાઇટની સ્થિતિ તપાસવાની સલાહ આપવામાં આવી છે,standard_gujarati,1
1181,ખૂબ સરસ બના વોછે,charotari,0
859,ભાઇ મેહોણા તો મેહોણા,charotari,0
