id,sentence,dialect,source
37,આ મહેસાણા ની ભાષા છે જ નહિ માયાભાઈ આવી રીતે મજાક નો ઉડાવો....એક વાર આવી ને રો મેહસાણા માં તમે ભાવનગર રેવાનું ભૂલી જશો,charotari,youtube_comments
38,"માયાભાઈ આપની દુકાન તો હારીજ ચલાવો છો પણ મી.માયાજી હાલના આપડા દેશના વડાપ્રધાન ક્ષી નરેન્દ્રભાઇ મોદી સાહેબ મેંહોણાનાજ છે તથા એમની સાથે આપણા દેશના ગૃહપ્રધાન ક્ષી અમીતભાઈ શાહ સાહેબ પણ મૂળ મેંહોણાનાજછે ભઈ અને ગુજરાત નાપૂર્વ મૂખ્ય મંત્રીશ્રી શંકરસિંહજી વાઘેલા સાહેબ પણ મૂળ મેં હોણાનાજ છે સમજ્યા ભઈબંધ ભઈ પહેલા મેંસાણી ભાષા ઓળખો,જાણો પછી ગપ્પાં મારવા ખબર પડીજાસે મેંસાણાની મજાક કેમ કરાય છે....",charotari,youtube_comments
39,મહેસાણા એજ્યકેશનમાં ગુજરાત રાજ્યમાં પ્રથમ નંબરે છે,charotari,youtube_comments
40,રામાયણ ની મજાક ન ઉડાળ ભાઇ,charotari,youtube_comments
41,મજાકમાં ભગવાન રામ જ મલ્યા ભાઈ,charotari,youtube_comments
42,માયાભાઈ તમે મહેસાણા ની ભાષા અને રામાયણ બંનેનું અપમાન કરી રહ્યા છો તમે એક સારા કલાકાર છો આવું વર્તન તમારાથી ન થાય,charotari,youtube_comments
43,આ કંઈક કરો ભાઈ આ દિવસે દિવસે વધારે પહેલા વાણીયાઓની ઉડાડતો હવે મહેસાણા ઉપર આવી ગયો છે,charotari,youtube_comments
44,આવી રીતે મહેસાણાવાળા નથી કહેતા રામાયણ.😢😢આ સંસ્કાર કોને આપ્યા આને કોઈ બોલી ની મજાક ઉડાવવી.,charotari,youtube_comments
45,કાઠિયાવાડમાં વિસ્તાર અને જાતિને ધ્યાન માં રાખે છે એવું ઘણી વખત જોયું છે,charotari,youtube_comments
46,અમારી ભાષા અમને ગમે છે ખાખરાની ખિસકોલી આંબાનો સ્વાદ શું જાણે,charotari,youtube_comments
47,મેહસાણા ની ભાષા બોલતા નથી આવડતી મહેસાણા ની ભાષા બોલવા માટે મહેસાણામાં જન્મ લેવો પડે,charotari,youtube_comments
48,આવી મજાક મસ્તી વાળા કલાકાર ને સ્ટેજ પર થી નીચે ઉતારવો જોઇએ.. સાંભળવા વારા ને પણ થોડીક શરમ આવવી જોઇએ.. ઘણી વખત માયા એ માફી માંગી છે..,charotari,youtube_comments
49,"આ અગાઉ પણ માયાભાઈ એ શિવ પાર્વતી વિશે મજાક ઉડાવી હતી, કંઈક શરમ કરો.",charotari,youtube_comments
50,આમાં મુસ્લિમ ક્યાં થી આ વ્યા ભાઈ. આ કોઈ મુસ્લિમ માયા ભાઈ થોડા છે. ભાઈ,charotari,youtube_comments
51,આનો વિરોધ કરવો જોઇએ,charotari,youtube_comments
52,તેનો તિરસ્કાર કરો મોરારિબાપુ ને જણાવો.,charotari,youtube_comments
53,@DineshPithaya-z4z આ ભાઈ ના બાપ ઉપર મજાક કરવા માયા ભાઇ ને કહો,charotari,youtube_comments
54,આને કલાકાર નહી ખદડો કહેવાય.,charotari,youtube_comments
55,સૌરાષ્ટ્ર ને કોઈ નો પોહચે,charotari,youtube_comments
56,ભગવાન ને પણ સૌરાષ્ટ્ર મા આવવું પડે,charotari,youtube_comments
57,આ ઉબેટ ને કોક હમજાવો કે પનોતી આ અમારી ભાષા સ જ નાં અન તમારાં જેવી ઉબેટો એ તો સૌરાષ્ટ્ર ની પત્તર ફાડી નોશી 😂😂😂,charotari,youtube_comments
58,ભાઈ આતો ડાયરો કેવાય આમાં કંઈ ખોટું નાં લગાડવાનું હોય 😊 આમાં તો હસી મજાક ચાલે.,charotari,youtube_comments
59,માયા ની માયા મોય ગઇ મારો રામ,charotari,youtube_comments
60,આવા ગોડા ન ના ખબર પડે,charotari,youtube_comments
61,❤❤ ખરેખર સાચી વાત છે ભાઇ બધી ભાષાઓ માં આનંદ છે ભાઇ આનંદ છે ❤❤❤❤❤❤❤❤,charotari,youtube_comments
62,માયા ભાઇ ખાખરા ની ખિસકોલી નથી તમારી ભાષા ના વખાણ કરે છે. ખોટુ નહિ લગાડો.,charotari,youtube_comments
63,આ બધુ ઘરનુ જોડે બાયલાવેડા,charotari,youtube_comments
64,આ મહેસાણાની ભાષા છે જ નહીં માયાભાઈ.,charotari,youtube_comments
65,આ આખા મહેસાણા ની ભાષા નથી આ એક સમાજ ની ભાષા છે,charotari,youtube_comments
66,લોકો પણ કેટલા પાગલ છે....😢😢😢😢😢😢,charotari,youtube_comments
67,શાહબુદ્દીન રાઠોડ ની કોપી કરી પણ એના જેવું નો થાય માયા ભાઈ,charotari,youtube_comments
68,"સુરતી, મહેસાણી અને કાઠિયાવાડી મિક્સ",charotari,youtube_comments
69,મારા ભાઈ માયા ભાઈ આ મહેસાણી ભાષા નથી પણ મજાક છે વિચારી ગોખી ને બોલો મારા ભાઈ,charotari,youtube_comments
70,તમે બહું હલકી વાત કરી રહ્યા છો મેહસાણા માં આવી ભાષા કોઈ નથી બોલતું મેહસાણા જિલ્લો નેચરલ ટોન માં વાત કરવા વાળી પબ્લિક છે હું પણ ચારણ છું અને મેહસાણા નો જ છું કોઈ ની પ્રાદેશિકતા ની મજાક ઉડાવી ને તમે તમારી વેલ્યુ ઓછી કરી રહ્યા છો,charotari,youtube_comments
71,બુદ્ધિનું પ્રદર્શન કરે છે આ.,charotari,youtube_comments
72,મહેસાણા નું નય હા માય ભાઈ વાઘેલાનું છે આ,charotari,youtube_comments
73,વાઘરી ભાષા અથવા તો કથીયા વાળી,charotari,youtube_comments
74,આ લોકો બીજાની મજાક ઉડાવી ને હાસ્ય બનાવે છે અને મૂર્ખા લોકો દાંત કાઢે છે,charotari,youtube_comments
75,"વધારે પડતી વાયડાય કરે છે, પૈસા માટે આટલી હલકી મજાક શોભતી નથી",charotari,youtube_comments
76,આ હલકા ના લખણ જલકાવયા કેવાઈ,charotari,youtube_comments
77,હલકા ને કો પેલા મહેસાણા ની ભાષા બોલતા શીખે,charotari,youtube_comments
78,આ વીડિયો ડિલીટ થવો જોયે😢😢😢😢,charotari,youtube_comments
79,"મહેસાણા ની ભાષા ની મજાક ના હોય ...,રામાયણ ની પણ મજાક ના હોય ...તમારી કાઠિયાવાડી થી તો ખુબજ સારી છે ...મહેસાણી બોલતા ના આવડે તો બોલવી નહી ....",charotari,youtube_comments
80,મહેસાણી ભાષા ના આવડે તમને gj2,charotari,youtube_comments
81,🙏 હારા દિકરા હારી માં હોય તો મળે 🙏,charotari,youtube_comments
82,મહેસાણા ની ભાષા બોલીવી હોયતો મહેસાણા મા જન્મ લેવૉ પડે,charotari,youtube_comments
83,Aa vidio ડિલીટ કરો,charotari,youtube_comments
84,રાડો પાડે એમ ન બોલે..બૂમ પાડે એમ બોલે..,charotari,youtube_comments
85,ભાષા હલકી કક્ષાની ના હોવી જોઈએ આપ સાંભળો ક્યારેક ધીરુભાઈ સરવૈયા ને આખો પરીવાર સાથે બેસીને સાંભળી શકે ધીરુભાઈ સરવૈયા ને..,charotari,youtube_comments
86,રામાયણ નુ અપમાન ના કરો,charotari,youtube_comments
87,ખોટા ને ખોટા મળ્યા આમાં સાચું કોણ સમજાવે😮😮😮,charotari,youtube_comments
88,ધીરુભાઈ સરવૈયા is ગ્રેટ,charotari,youtube_comments
89,મોરારી બાપુ ના બાજુ માં બેસી ને રામાયણ ની મજાક ઉડાવે છે આ માણસ સસ્તી કૉમેડી કરે છે આને લોકસાહિત્યકાર કોણે બનાવ્યો,charotari,youtube_comments
90,આ કલાકાર તો સ્ટેજ પર રજૂ કરે છે આજે રામાયણ આપડે પરિવાર ને સંભાળવાની છે,charotari,youtube_comments
91,હા ભાઈ હું 5 વરસથી સાંભળું છું ધીરુભાઈ ને ❤❤,charotari,youtube_comments
92,"ધીરુભાઈ ની મોજ હા, ,,,,આમને ના આવડે બોલતા ....હસાવતા",charotari,youtube_comments
93,આ ભાષા મહેસાણા જિલ્લા ની નથી સુ હાલી નીકળી પડ્યા છો,charotari,youtube_comments
94,આવા લોકો હલકી ભાષા નો ઉપયોગ કરી ને પોતાની વાહ વાહ થાય તેના માટે કરે છે....,charotari,youtube_comments
95,આ લોકો ને ધર્મ ઉપર મજાક કરતા જરા પણ શરમ નહિ આવતી 😢😢,charotari,youtube_comments
96,મહેસાણા વાળા ની ભાસા ની વાત ના કર તમારા કાઠિયાવાડી કેટલા ચીટર છે વાત કર આ તારા જેવા ને કારણે લખવું પડે છે.,charotari,youtube_comments
97,સૌરાષ્ટ્ર ના લોકો નું લેવલ આનાથી ખબર પડે કે આવા વાહિયાત કલાકાર ને એ લોકો સાંભળે છે.,charotari,youtube_comments
98,શાહબુદ્દીન રાઠોડ ને ગુરૂ બનાવો એટલે રામાયણ અને મહાભારત વિશે કેવી રીતે બોલાય !!! માફ કરજો !!,charotari,youtube_comments
99,બાર ગામે બોલી બદલાય તમે મહેસાણા નું અપમાન કરી રહ્યા છો.. મોદી સાહેબ પણ મહેસાણા જિલ્લાના છે..,charotari,youtube_comments
100,Aa તો ખોટો કલાકાર છે રામ ભગવાન અને રાવણ ની મજાક ઉડાડે છે રાવણ જેવી તપસ્યા કરો ખબર પડે તમને તો પૈસા મળે છે,charotari,youtube_comments
101,બસ આપડે હસતા જ રેવાનું બાકી ભાગવાન્ નું ભલે ગમે એટલું અપમાન કરે,charotari,youtube_comments
102,આવા મનુવાદી લોકોને સાંભળવાનું બંધ કરવું જોઈએ,charotari,youtube_comments
103,આવી જ રીતે ઉંધુ બને તો. ઉલટું મહેસાણા માં કાઠીયાવાડી ભાષાનો આદર થાય છે કલાકાર ને સીમા નાં હોય પણ કલાકારે સીમમાં જ,charotari,youtube_comments
104,કહેતા ભી ભલા અને સુનતા ભી ભલા,charotari,youtube_comments
105,ઉતર ગજરાત મોટુ ચીttar હું પાટીદાર છું.માયા ભાઇ ની વિરુદ્ધ મા કાંઈ બોલતા નહિ.,charotari,youtube_comments
106,એ ની જાત ના સંસ્કાર બતાવે છે.,charotari,youtube_comments
107,ખૂબ ખૂબ અભિનંદન વાહ વાહ માયા ભાઈ,charotari,youtube_comments
108,તારા બાપ નો દાદો છે રામ મજાક નો ઉડાડાય બુદ્ધિ વગર ના,charotari,youtube_comments
109,મુરખ રામાયણ નુ મજાક કરે છે,charotari,youtube_comments
110,અદભુત માયા તારી માયા,charotari,youtube_comments
111,મેહસાણા ની ભાષા સરસ શે ભાઈ,charotari,youtube_comments
112,આ ઉત્તર ગુજરાતી ભાષા જ નથી,charotari,youtube_comments
113,આભાષા તો મેહસાણા ની નથી,charotari,youtube_comments
114,Tamari bhasani ghaan રાખો ભાઈ બીજાની ભાષા નું ઘ્યાન ન રાખો ભાઈ ધંધા મા ઘ્યાન રાખો,charotari,youtube_comments
115,મોરારી બાપુ ની હારે રઈ ને આશંસકાર આયા,charotari,youtube_comments
116,માયા ભાઈ ને કઈ તુ પેલા મહેસાણી શીખી લે પેલા પછી મહેસાણી મા રામાયણ કેજે આતો એના ઘરની રામાયણ કહેછે મહેસાણા મા આવી રામાયણ હોતી જ નથી,charotari,youtube_comments
117,મહેસાણા ની ભાષા આવડતી નથી તો ખોટું બોલો છો,charotari,youtube_comments
118,આ મહેસાણા ની ભાષા નથી જુઠ્ઠા તમે કેટલા માણસ ડફોળ બનાવીશ?,charotari,youtube_comments
119,સાહિત્ય ને સમજતા શીખો. કવિ અને લેખક ભાષામાં છૂટ લેતા હોય છે. કેમ કે તો જ સાહિત્ય સર્જન થાય.,charotari,youtube_comments
120,રામાયણની કાપવા વાળુ એક પેદા થયુ,charotari,youtube_comments
121,મહિલા મોર્ચો 5000 વર્ષ પહેલા નહીં 50 વર્ષ પહેલા બહાર પડ્યો,charotari,youtube_comments
122,આ માણસ સનાતન ધર્મ નું અપમાન કરી રહ્યો છે 😢,charotari,youtube_comments
123,માયા ભાઈ ને ના રોવો..કોણ કેવા સંસ્કારે માંથી જન્મેલા છે..🤔🤔 એતો દરેક ની કૉમેન્ટ પરથી ખબર પડી જાય સેરી..,charotari,youtube_comments
124,આ મ હે સા ના ની ભા શા નથી,charotari,youtube_comments
125,માયા ભાઈ મહેર બાની કરો,charotari,youtube_comments
126,માયાભાઈ તમે હાસ્યરસ નય પણ વિરરસ તથા સાહિત્ય ની વાતો કરશો તો ખરેખર મોજ આવી જાય હો.,charotari,youtube_comments
127,આ. મહેસાણા ની ઓરીજનલ ભાષા છે જ નહીં શું ફેંકવા બેઠા,charotari,youtube_comments
128,તમે રામાયણ a ને મજાક ઉડાવો સોં લુખેસ 😜 ટુ પોતાને મહાન સમજે સે ટુ સાચો કલાકાર નથી ટુ ઠગ 😜સે કારણ તમે શ્રી રામ ની અને સીતા માં 🙏 મજાક ઉડાવી સે કોઈ પણ ભાસા હોય ભગવાન ને to બધા માને સે 👍 પસી ગમેતે જિલ્લા ના ના હોય ટોપા 👌🙏,charotari,youtube_comments
129,"આ સૂરતી ભાષા છે,મહેસાણા ની નઈ...😂",charotari,youtube_comments
130,સાચી વાત કરી છે ભયલા,charotari,youtube_comments
131,મહેસાણાનું નામ ન બગાડો માયાભાઈ,charotari,youtube_comments
132,આ અમદાવાદ ની ભાષા છે,charotari,youtube_comments
133,"છી છી આ નાલાયક કલાકાર ને બે ધોલ મારવાની જરૂર છે, આ રીતે પાપી પેટ ભરવા માટે આપણા પવિત્ર ગ્રંથ રામાયણ ની આવી મજાક....... ફૂટપાથ પર બેસીને ભીખ માગી હોત તો ય સારું પણ આ તો એવો નરાધમ કે પોતાનો ધરમ વેચી ને ખાનારો એક અધર્મી",charotari,youtube_comments
134,ભલે અમારા મહેસાણા ની ભાષા ગમેતેવી લાગે પણ તમારી ભાષા કરતાં તો હારી જ છે,charotari,youtube_comments
135,આ લોડો અને હિતેશ અંટલા બાયું ને વધારે ફોહલાવે 😂😂,charotari,youtube_comments
136,ગાંધીનગર આજ સુધી ગુજરાત ના કોઇ પણ કલાકારે કાઠિયાવાડી ભાષાની ઠેકડી ઉડાવી છે ?હલકટ પ્રવૃતિ છોડો.,charotari,youtube_comments
137,Maya bhai લોકોને હસાવવા માટે રામાયણ નો ઉપયોગ ન કરાય,charotari,youtube_comments
138,મહેસાણા વાળા એ માયા આહીર નું કંઈક બગાડ્યું હશે તો જ એમની મજાક ઉડાડે છે સોશિયલ મીડિયામાં😂,charotari,youtube_comments
139,અલ્યા માયા. અમારી ભાષા બોલવા માટે અમારા મેહોણા મા જનમ લેવો પડે.,charotari,youtube_comments
140,"મજાક મસ્તી માટે બરાબર છે , પણ સહેજ પણ મહેસાણી ભાષા જેવું નથી, જે એરિયા નો જે બોલવાનો લહેકો હોય એ કોઈથી પણ કોપી ના થઈ શકે, મહેસાણી ભાષા માં, હ , અને સ , આ બે શબ્દો મહત્વના",charotari,youtube_comments
141,માયાભાઈ મજામાને અમારા મહેસાણાની આવી ભાષા નથી આપ મનોરંજન માટે બોલો તે બરાબર છે,charotari,youtube_comments
142,મહેસાણા ની ભાષા નથી ખોટું બોલે છે પેસા માટે કરે છે,charotari,youtube_comments
143,ભિખમંગા જેમ્ફાવેટેમ્બોલેછે,charotari,youtube_comments
144,રાક્ષસ જેવો લાગે છે,charotari,youtube_comments
145,સારી એમ બોલતા શીખી લે પહેલા,charotari,youtube_comments
146,અમારી ભાષા માં હારી જ કેવાય કુક્કડા​ @RasikKukadiya,charotari,youtube_comments
147,મેહોણા બોલતાનથી આવડતું,charotari,youtube_comments
148,તમે આવો મેહસાણા... ભાષા સમજાવુ..,charotari,youtube_comments
149,સાવ હલકો કલાકાર છે,charotari,youtube_comments
150,ભાઇ મેહોણા તો મેહોણા,charotari,youtube_comments
151,હલકા તારી હલકાઇ દેખાઈ આવી,charotari,youtube_comments
152,"આવા લોકો કલાકાર ના કહેવાય, બહિષ્કાર થવો જોઇએ",charotari,youtube_comments
153,રામાયણ ઉપર મજાક કરવા વાળા સંસ્કાર ની વાત કરે છે,charotari,youtube_comments
154,એક જાત નો લુખ્ખો છે,charotari,youtube_comments
155,જેવો માણસ એવો વિચાર હલકી ના,charotari,youtube_comments
156,"મતલબ ગામડાના ભોળા માણસોને રામાયણનું જ્ઞાન હોય છે . તેમને કથા સાંભળવા જવાની જરુર નથી ,",charotari,youtube_comments
157,ભાઈ ના આવડે તો સ્ટેજ ઉપરથી નીચે ઉતરી ને જતા રહો,charotari,youtube_comments
158,આ ભાષા મહેસાણા ની નથી..આ કોઈ સમાજ ની ભાષા માં વાત કરે છે,charotari,youtube_comments
159,આવું કોણ બોલે છે મહેસાણા મા આવી ઘર ની ભાસે વાપરે છે સરમ. આવી જોયે,charotari,youtube_comments
160,એક તો આવાને લાખો રૂપિયા આપવાના અને સનાતન નું આપમાન્ કરવાનું,charotari,youtube_comments
161,માયાભાઈ સાચું કહું છે!,charotari,youtube_comments
162,આ મહેસાણી ભાષા નથી.,charotari,youtube_comments
163,એ કોડા આ મેહસાણા ની ભાષા છેજ નઈ કોડા ફેંકવાનું બંધ કર,charotari,youtube_comments
164,માયા આહીર અને હિતેશ કંટાળી યુ બંને મહેસાણા નથી બોલાવતા,charotari,youtube_comments
165,નો આવડતું હોય તો નો બોલાય અમે આવુ નહિ બોલતા ઉત્તર ગુજરાત થી જ ગુજરાત ની ઓળખાણ સે,charotari,youtube_comments
166,"આ મહા મૂર્ખના સરદારને મહેસાણા ભાષા આવડતી નથી, અને જાહેરમાં પોતાની બુદ્ધિનું પ્રદર્શન કરી રહ્યો છે. આને કોઈ પાગલખાનામાં લઈ જાઓ.",charotari,youtube_comments
167,સનાતની નથી નહિતર આપણા પવિત્ર ગ્રંથ વિશે આવી મશ્કરી વાળી ભાષા નો વાપરે.. કલાકાર માથે લાંછનનનનનનન,charotari,youtube_comments
168,આપણા દેવી દેવતા ને મજાકમાં લેવા નહીં.,charotari,youtube_comments
169,"🙏🌹જયશ્રી સ્વામિનારાયણ🌹🙏 🙏🌹 શ્રી લક્ષ્મીનારાયણદેવની જય જયશ્રી શ્રીમન્નનારાયણ 🌹🙏 🙏🌹 જય લક્ષ્મી માતા જય સંતોષી માં જય અંબામાં 🌹🙏 🙏🌹 જય ચામુંડામાતા, જય માતાદી જય માં દુર્ગા જય માં ભદ્રકાળી 🌹🙏 🙏🌹 ૐ શ્રી સુયાૅય નમ: જયશ્રી બાગેશ્વરધામ 🌹🙏 🙏🌹 જયશ્રી રામ જયશ્રી કૃષ્ણ રાધે રીધે શ્રી દ્વારકાધીશ ની જય જયશ્રી ખાટુંશ્યામ🌹🙏 🙏🌹 ૐ નમઃ શિવાય જય શનિદેવ જય મહાકાલ, હર હર મહાદેવ જય ભોલેનાથ 🌹🙏 🙏🌹 જયશ્રી ગણેશ રીધ્ધિ-સિધ્ધીના દાતા ગણપતિ દેવ જય મંગલમૂર્તિ 🌹🙏 🙏🌹જયશ્રી હનુમાન જયશ્રી મારુતિ જયશ્રી બજરંગબલી 🙏🌹 જયશ્રી સંકટમોચન જયશ્રી કષ્ટભંજન દેવ 🌹🙏",charotari,youtube_comments
170,મહેસાણા ભારત દેસ નુ રદય છે મહેસાણા ની ભાસ્યા સિખવા મહેસાણા માં જન્મ લેવો પડે,charotari,youtube_comments
171,લોકો ને ઉલ્લુ બનાવીને રૂપિયા કમાઈ લીધા.... મહેસાણા ની ભાષા છે જ નહિ... તમારી ભાષા માં જ રામાયણ છે..,charotari,youtube_comments
172,મહેસાણા ના કોઈ આવુ નથી બોલતુ તમે માયાભાઈ ખોટી બોલી ઊભી નથી કરો ્્્મારા મહેસાણા એ તો દેશને વડાપ્રધાન આપ્યો છે......,charotari,youtube_comments
173,કલાકાર એટલે ખોટી ફાંકા ફોજદારી,charotari,youtube_comments
174,કલાકર એટલે પૈસા ના યાર,charotari,youtube_comments
175,જે માણસ સે વાર્તા ને સાચી માની લે છે તે અભણ ની નિશાની છે.,charotari,youtube_comments
176,મહેસાણા ની ભાષા નથી આ કોઈ બીજા સમાજ ની ભાષા છે,charotari,youtube_comments
177,આપડા બનાવેલા આપણને બનાવે છે,charotari,youtube_comments
178,પયસા.. માટે.. આવી.. બૉલે.. છે. હોય.. ભાષાનૂ.. અપમાન.. ન.કરો,charotari,youtube_comments
179,ભાઈ શ્રી આ ભાષા નથી મહેસાણા ની,charotari,youtube_comments
180,આ મહેસાણાની ભાષા નથી પણદેવી પૂજક ભાષાછે,charotari,youtube_comments
181,ભાઈ નુ મગજ ગાસ ચરવા ગયુ છે આપણી ભુલ એ છે કે આવા ગાંડા માણસ ના કાર્યક્રમ જોવા સાંભળવા જઈ એ છિયે,charotari,youtube_comments
182,Hu બનાસ કાંઠા નો છું.પણ મેહાના માં છું પણ આવી ભાષા નથી....,charotari,youtube_comments
183,ગમે એની મજાક ઉડાવે છે આ ફાલતુ,charotari,youtube_comments
184,સારું છે મુસ્લિમ મોલાના એ આ રીતે પ્રવચન નથી કર્યો,charotari,youtube_comments
185,વિનાશકારી વિપરીત બુદ્ધિ,charotari,youtube_comments
186,પૈસા માટે ધર્મ નું અપમાન કરો છો,charotari,youtube_comments
187,Mahesna ni ભાષા chhe j nai ne😂 મહેસાણા ma rahta hoy અમને puchho 😅,charotari,youtube_comments
188,મેહોની ભાષા બોલતા શીખો અને પછી બોલો ભાઈ અને ના આવડે તો આવો ટાઈમ કાઢીને અમારા મહેસાણા મા શીખવાડી ને મોકલીશુ,charotari,youtube_comments
189,સાવ કેવી નિમ્ન ધર્મ ની હસી કરે છે,charotari,youtube_comments
190,માયા ભાઈ માપ રાખો.આ અમારી ભાષા નથી.,charotari,youtube_comments
191,આ વેવલા પણુજ કરતો હોય જય માતાજી,charotari,youtube_comments
192,આ મહેસાણા ની ભાશા છેજ નથી,charotari,youtube_comments
193,માયાભાઇ મહેસાણા ની ભાષા નથી,charotari,youtube_comments
194,મહેસાણા ને તમે નહિ સમજી શકો. માયાભાઈ.,charotari,youtube_comments
195,માયાભાઇ આ મહેસાણા ની ભાષા નથી.,charotari,youtube_comments
196,આના દરેક કાર્યક્રમ boycott કરવો જોઈએ.,charotari,youtube_comments
197,આમેસાણાનીભાષાનથી.ડફોર,charotari,youtube_comments
198,ભાઈ આ કાલ્પનિક વાતો કરી ને પૈસા કમાવા નો ધંધો છે.,charotari,youtube_comments
199,આ મહેસાણા નુ એક્સેન્ટ નથી યાર,charotari,youtube_comments
200,"માયા ભાઈ ભગવાન રામ નામનું અબોટિયું તમારા પગમાં રાખી ને ભગવાન નું અપમાન કરો છો વળી પાછું એનાથી જ તમારું પરસેવા વાળું મોઢું અને નાક પણ લૂછો છો અને બીજાને ભગવાન ,માતાજી વિશે વાત કરી ને મજાક ઉડાવો છો પાછા બીજાને જ્ઞાન આપો છો તમારા જેવા લોકોજ હિન્દુધર્મ ની મજાક કરે છે એના કારણે દરેક સનાતનીઓને નીચું જોવું પડે છે તો તમારો રોટલો ધર્મની મજાક કરી ને ના સેકો",charotari,youtube_comments
201,આ લોક સાહિત્ય નથી. આ એક બોલી ની મજાક ઉડાવે છે. આને લોકસાહિત્યકાર ન કહેવાય. 😢😢,charotari,youtube_comments
