id,sentence,dialect,source
28,હગલું અને ઉદાવી ડીધું એટલે શું,charotari,balanced
29,સૌરાષ્ટ્ર માં કાઠીયાવાડી બોલી બોલિયા છે,charotari,balanced
30,ખખોળીયુ ખાવુ એટલે નાહવું કાઠીયાવાડી માં,charotari,balanced
31,રામાયણ ઉપર મજાક થાય અને લોકો હશે એ દુઃખની વાત છે એકવાર મુસ્લિમ ગ્રંથને મહેસાણી ભાષામાં રજુ કરો અને કેટલા મુસ્લિમો હશે છે એ તમે જુઓ. માયાભાઈ મોરારી બાપુ ના ખૂબ જ પ્રીતિ પાત્ર છે છતાં પણ તે રામાયણ ની મશ્કરી કરે છે. હિન્દુ અને શત્રુ બોધ નથી.,charotari,balanced
32,આપણા હિન્દુ ધર્મ ગ્રંથ પર આવી મજાક કોમેડી કરવાની બંધ કરો... સાચા મર્દના દીકરા હોય તો બીજા કોઈ ધર્મ ગ્રંથ પર આવી મજાક કે કોમેડી કરજો .... ચ્ઠીનું ધાવણ યાદ આવી જશે.... જય શ્રી કૃષ્ણ 😢😢😢😢😢😢😢😢,charotari,balanced
33,મહેસાણા માં એક વર્ષ માટે રહેવા આવો પછી મહેસાણા ની ભાષા આવડે મારા વાલા,charotari,balanced
34,"આજના કલાકારો પૈસા માટે રામની પણ મજાક કરશે, અને સંસ્કારની વાતો પણ કરશે.",charotari,balanced
35,આહિર નો દિકરો સનાતન ધર્મ ની મજાક કરે છે.....હદ છે..... ધન્ય છે તારી જનેતાને...,charotari,balanced
36,આ મહેસાણા ની ભાષા છે જ નહિ માયાભાઈ આવી રીતે મજાક નો ઉડાવો....એક વાર આવી ને રો મેહસાણા માં તમે ભાવનગર રેવાનું ભૂલી જશો,charotari,balanced
37,મહેસાણા એજ્યકેશનમાં ગુજરાત રાજ્યમાં પ્રથમ નંબરે છે,charotari,balanced
38,રામાયણ ની મજાક ન ઉડાળ ભાઇ,charotari,balanced
39,મજાકમાં ભગવાન રામ જ મલ્યા ભાઈ,charotari,balanced
40,માયાભાઈ તમે મહેસાણા ની ભાષા અને રામાયણ બંનેનું અપમાન કરી રહ્યા છો તમે એક સારા કલાકાર છો આવું વર્તન તમારાથી ન થાય,charotari,balanced
41,આ કંઈક કરો ભાઈ આ દિવસે દિવસે વધારે પહેલા વાણીયાઓની ઉડાડતો હવે મહેસાણા ઉપર આવી ગયો છે,charotari,balanced
42,આવી રીતે મહેસાણાવાળા નથી કહેતા રામાયણ.😢😢આ સંસ્કાર કોને આપ્યા આને કોઈ બોલી ની મજાક ઉડાવવી.,charotari,balanced
43,કાઠિયાવાડમાં વિસ્તાર અને જાતિને ધ્યાન માં રાખે છે એવું ઘણી વખત જોયું છે,charotari,balanced
44,અમારી ભાષા અમને ગમે છે ખાખરાની ખિસકોલી આંબાનો સ્વાદ શું જાણે,charotari,balanced
45,મેહસાણા ની ભાષા બોલતા નથી આવડતી મહેસાણા ની ભાષા બોલવા માટે મહેસાણામાં જન્મ લેવો પડે,charotari,balanced
46,આવી મજાક મસ્તી વાળા કલાકાર ને સ્ટેજ પર થી નીચે ઉતારવો જોઇએ.. સાંભળવા વારા ને પણ થોડીક શરમ આવવી જોઇએ.. ઘણી વખત માયા એ માફી માંગી છે..,charotari,balanced
47,"આ અગાઉ પણ માયાભાઈ એ શિવ પાર્વતી વિશે મજાક ઉડાવી હતી, કંઈક શરમ કરો.",charotari,balanced
48,આમાં મુસ્લિમ ક્યાં થી આ વ્યા ભાઈ. આ કોઈ મુસ્લિમ માયા ભાઈ થોડા છે. ભાઈ,charotari,balanced
49,આનો વિરોધ કરવો જોઇએ,charotari,balanced
50,તેનો તિરસ્કાર કરો મોરારિબાપુ ને જણાવો.,charotari,balanced
51,@DineshPithaya-z4z આ ભાઈ ના બાપ ઉપર મજાક કરવા માયા ભાઇ ને કહો,charotari,balanced
52,આને કલાકાર નહી ખદડો કહેવાય.,charotari,balanced
53,સૌરાષ્ટ્ર ને કોઈ નો પોહચે,charotari,balanced
54,ભગવાન ને પણ સૌરાષ્ટ્ર મા આવવું પડે,charotari,balanced
55,આ ઉબેટ ને કોક હમજાવો કે પનોતી આ અમારી ભાષા સ જ નાં અન તમારાં જેવી ઉબેટો એ તો સૌરાષ્ટ્ર ની પત્તર ફાડી નોશી 😂😂😂,charotari,balanced
56,ભાઈ આતો ડાયરો કેવાય આમાં કંઈ ખોટું નાં લગાડવાનું હોય 😊 આમાં તો હસી મજાક ચાલે.,charotari,balanced
57,માયા ની માયા મોય ગઇ મારો રામ,charotari,balanced
58,આવા ગોડા ન ના ખબર પડે,charotari,balanced
59,❤❤ ખરેખર સાચી વાત છે ભાઇ બધી ભાષાઓ માં આનંદ છે ભાઇ આનંદ છે ❤❤❤❤❤❤❤❤,charotari,balanced
60,માયા ભાઇ ખાખરા ની ખિસકોલી નથી તમારી ભાષા ના વખાણ કરે છે. ખોટુ નહિ લગાડો.,charotari,balanced
61,આ બધુ ઘરનુ જોડે બાયલાવેડા,charotari,balanced
62,આ મહેસાણાની ભાષા છે જ નહીં માયાભાઈ.,charotari,balanced
63,આ આખા મહેસાણા ની ભાષા નથી આ એક સમાજ ની ભાષા છે,charotari,balanced
64,લોકો પણ કેટલા પાગલ છે....😢😢😢😢😢😢,charotari,balanced
65,શાહબુદ્દીન રાઠોડ ની કોપી કરી પણ એના જેવું નો થાય માયા ભાઈ,charotari,balanced
66,"સુરતી, મહેસાણી અને કાઠિયાવાડી મિક્સ",charotari,balanced
67,મારા ભાઈ માયા ભાઈ આ મહેસાણી ભાષા નથી પણ મજાક છે વિચારી ગોખી ને બોલો મારા ભાઈ,charotari,balanced
68,તમે બહું હલકી વાત કરી રહ્યા છો મેહસાણા માં આવી ભાષા કોઈ નથી બોલતું મેહસાણા જિલ્લો નેચરલ ટોન માં વાત કરવા વાળી પબ્લિક છે હું પણ ચારણ છું અને મેહસાણા નો જ છું કોઈ ની પ્રાદેશિકતા ની મજાક ઉડાવી ને તમે તમારી વેલ્યુ ઓછી કરી રહ્યા છો,charotari,balanced
69,બુદ્ધિનું પ્રદર્શન કરે છે આ.,charotari,balanced
70,મહેસાણા નું નય હા માય ભાઈ વાઘેલાનું છે આ,charotari,balanced
71,વાઘરી ભાષા અથવા તો કથીયા વાળી,charotari,balanced
72,આ લોકો બીજાની મજાક ઉડાવી ને હાસ્ય બનાવે છે અને મૂર્ખા લોકો દાંત કાઢે છે,charotari,balanced
73,"વધારે પડતી વાયડાય કરે છે, પૈસા માટે આટલી હલકી મજાક શોભતી નથી",charotari,balanced
74,આ હલકા ના લખણ જલકાવયા કેવાઈ,charotari,balanced
75,હલકા ને કો પેલા મહેસાણા ની ભાષા બોલતા શીખે,charotari,balanced
76,આ વીડિયો ડિલીટ થવો જોયે😢😢😢😢,charotari,balanced
77,"મહેસાણા ની ભાષા ની મજાક ના હોય ...,રામાયણ ની પણ મજાક ના હોય ...તમારી કાઠિયાવાડી થી તો ખુબજ સારી છે ...મહેસાણી બોલતા ના આવડે તો બોલવી નહી ....",charotari,balanced
78,મહેસાણી ભાષા ના આવડે તમને gj2,charotari,balanced
79,🙏 હારા દિકરા હારી માં હોય તો મળે 🙏,charotari,balanced
80,મહેસાણા ની ભાષા બોલીવી હોયતો મહેસાણા મા જન્મ લેવૉ પડે,charotari,balanced
81,Aa vidio ડિલીટ કરો,charotari,balanced
82,રાડો પાડે એમ ન બોલે..બૂમ પાડે એમ બોલે..,charotari,balanced
83,ભાષા હલકી કક્ષાની ના હોવી જોઈએ આપ સાંભળો ક્યારેક ધીરુભાઈ સરવૈયા ને આખો પરીવાર સાથે બેસીને સાંભળી શકે ધીરુભાઈ સરવૈયા ને..,charotari,balanced
84,રામાયણ નુ અપમાન ના કરો,charotari,balanced
85,ખોટા ને ખોટા મળ્યા આમાં સાચું કોણ સમજાવે😮😮😮,charotari,balanced
86,ધીરુભાઈ સરવૈયા is ગ્રેટ,charotari,balanced
87,મોરારી બાપુ ના બાજુ માં બેસી ને રામાયણ ની મજાક ઉડાવે છે આ માણસ સસ્તી કૉમેડી કરે છે આને લોકસાહિત્યકાર કોણે બનાવ્યો,charotari,balanced
88,આ કલાકાર તો સ્ટેજ પર રજૂ કરે છે આજે રામાયણ આપડે પરિવાર ને સંભાળવાની છે,charotari,balanced
89,હા ભાઈ હું 5 વરસથી સાંભળું છું ધીરુભાઈ ને ❤❤,charotari,balanced
90,"ધીરુભાઈ ની મોજ હા, ,,,,આમને ના આવડે બોલતા ....હસાવતા",charotari,balanced
91,આ ભાષા મહેસાણા જિલ્લા ની નથી સુ હાલી નીકળી પડ્યા છો,charotari,balanced
92,આવા લોકો હલકી ભાષા નો ઉપયોગ કરી ને પોતાની વાહ વાહ થાય તેના માટે કરે છે....,charotari,balanced
93,આ લોકો ને ધર્મ ઉપર મજાક કરતા જરા પણ શરમ નહિ આવતી 😢😢,charotari,balanced
94,મહેસાણા વાળા ની ભાસા ની વાત ના કર તમારા કાઠિયાવાડી કેટલા ચીટર છે વાત કર આ તારા જેવા ને કારણે લખવું પડે છે.,charotari,balanced
95,સૌરાષ્ટ્ર ના લોકો નું લેવલ આનાથી ખબર પડે કે આવા વાહિયાત કલાકાર ને એ લોકો સાંભળે છે.,charotari,balanced
96,શાહબુદ્દીન રાઠોડ ને ગુરૂ બનાવો એટલે રામાયણ અને મહાભારત વિશે કેવી રીતે બોલાય !!! માફ કરજો !!,charotari,balanced
97,બાર ગામે બોલી બદલાય તમે મહેસાણા નું અપમાન કરી રહ્યા છો.. મોદી સાહેબ પણ મહેસાણા જિલ્લાના છે..,charotari,balanced
98,Aa તો ખોટો કલાકાર છે રામ ભગવાન અને રાવણ ની મજાક ઉડાડે છે રાવણ જેવી તપસ્યા કરો ખબર પડે તમને તો પૈસા મળે છે,charotari,balanced
99,બસ આપડે હસતા જ રેવાનું બાકી ભાગવાન્ નું ભલે ગમે એટલું અપમાન કરે,charotari,balanced
100,આવા મનુવાદી લોકોને સાંભળવાનું બંધ કરવું જોઈએ,charotari,balanced
101,આવી જ રીતે ઉંધુ બને તો. ઉલટું મહેસાણા માં કાઠીયાવાડી ભાષાનો આદર થાય છે કલાકાર ને સીમા નાં હોય પણ કલાકારે સીમમાં જ,charotari,balanced
102,કહેતા ભી ભલા અને સુનતા ભી ભલા,charotari,balanced
103,ઉતર ગજરાત મોટુ ચીttar હું પાટીદાર છું.માયા ભાઇ ની વિરુદ્ધ મા કાંઈ બોલતા નહિ.,charotari,balanced
104,એ ની જાત ના સંસ્કાર બતાવે છે.,charotari,balanced
105,ખૂબ ખૂબ અભિનંદન વાહ વાહ માયા ભાઈ,charotari,balanced
106,તારા બાપ નો દાદો છે રામ મજાક નો ઉડાડાય બુદ્ધિ વગર ના,charotari,balanced
107,મુરખ રામાયણ નુ મજાક કરે છે,charotari,balanced
108,અદભુત માયા તારી માયા,charotari,balanced
109,મેહસાણા ની ભાષા સરસ શે ભાઈ,charotari,balanced
110,આ ઉત્તર ગુજરાતી ભાષા જ નથી,charotari,balanced
111,આભાષા તો મેહસાણા ની નથી,charotari,balanced
112,Tamari bhasani ghaan રાખો ભાઈ બીજાની ભાષા નું ઘ્યાન ન રાખો ભાઈ ધંધા મા ઘ્યાન રાખો,charotari,balanced
113,મોરારી બાપુ ની હારે રઈ ને આશંસકાર આયા,charotari,balanced
114,માયા ભાઈ ને કઈ તુ પેલા મહેસાણી શીખી લે પેલા પછી મહેસાણી મા રામાયણ કેજે આતો એના ઘરની રામાયણ કહેછે મહેસાણા મા આવી રામાયણ હોતી જ નથી,charotari,balanced
115,મહેસાણા ની ભાષા આવડતી નથી તો ખોટું બોલો છો,charotari,balanced
116,આ મહેસાણા ની ભાષા નથી જુઠ્ઠા તમે કેટલા માણસ ડફોળ બનાવીશ?,charotari,balanced
117,સાહિત્ય ને સમજતા શીખો. કવિ અને લેખક ભાષામાં છૂટ લેતા હોય છે. કેમ કે તો જ સાહિત્ય સર્જન થાય.,charotari,balanced
118,રામાયણની કાપવા વાળુ એક પેદા થયુ,charotari,balanced
119,મહિલા મોર્ચો 5000 વર્ષ પહેલા નહીં 50 વર્ષ પહેલા બહાર પડ્યો,charotari,balanced
120,આ માણસ સનાતન ધર્મ નું અપમાન કરી રહ્યો છે 😢,charotari,balanced
121,માયા ભાઈ ને ના રોવો..કોણ કેવા સંસ્કારે માંથી જન્મેલા છે..🤔🤔 એતો દરેક ની કૉમેન્ટ પરથી ખબર પડી જાય સેરી..,charotari,balanced
122,આ મ હે સા ના ની ભા શા નથી,charotari,balanced
123,માયા ભાઈ મહેર બાની કરો,charotari,balanced
124,માયાભાઈ તમે હાસ્યરસ નય પણ વિરરસ તથા સાહિત્ય ની વાતો કરશો તો ખરેખર મોજ આવી જાય હો.,charotari,balanced
125,આ. મહેસાણા ની ઓરીજનલ ભાષા છે જ નહીં શું ફેંકવા બેઠા,charotari,balanced
126,તમે રામાયણ a ને મજાક ઉડાવો સોં લુખેસ 😜 ટુ પોતાને મહાન સમજે સે ટુ સાચો કલાકાર નથી ટુ ઠગ 😜સે કારણ તમે શ્રી રામ ની અને સીતા માં 🙏 મજાક ઉડાવી સે કોઈ પણ ભાસા હોય ભગવાન ને to બધા માને સે 👍 પસી ગમેતે જિલ્લા ના ના હોય ટોપા 👌🙏,charotari,balanced
127,"આ સૂરતી ભાષા છે,મહેસાણા ની નઈ...😂",charotari,balanced
128,સાચી વાત કરી છે ભયલા,charotari,balanced
129,મહેસાણાનું નામ ન બગાડો માયાભાઈ,charotari,balanced
130,આ અમદાવાદ ની ભાષા છે,charotari,balanced
131,"છી છી આ નાલાયક કલાકાર ને બે ધોલ મારવાની જરૂર છે, આ રીતે પાપી પેટ ભરવા માટે આપણા પવિત્ર ગ્રંથ રામાયણ ની આવી મજાક....... ફૂટપાથ પર બેસીને ભીખ માગી હોત તો ય સારું પણ આ તો એવો નરાધમ કે પોતાનો ધરમ વેચી ને ખાનારો એક અધર્મી",charotari,balanced
132,ભલે અમારા મહેસાણા ની ભાષા ગમેતેવી લાગે પણ તમારી ભાષા કરતાં તો હારી જ છે,charotari,balanced
133,આ લોડો અને હિતેશ અંટલા બાયું ને વધારે ફોહલાવે 😂😂,charotari,balanced
134,ગાંધીનગર આજ સુધી ગુજરાત ના કોઇ પણ કલાકારે કાઠિયાવાડી ભાષાની ઠેકડી ઉડાવી છે ?હલકટ પ્રવૃતિ છોડો.,charotari,balanced
135,Maya bhai લોકોને હસાવવા માટે રામાયણ નો ઉપયોગ ન કરાય,charotari,balanced
136,મહેસાણા વાળા એ માયા આહીર નું કંઈક બગાડ્યું હશે તો જ એમની મજાક ઉડાડે છે સોશિયલ મીડિયામાં😂,charotari,balanced
137,અલ્યા માયા. અમારી ભાષા બોલવા માટે અમારા મેહોણા મા જનમ લેવો પડે.,charotari,balanced
138,"મજાક મસ્તી માટે બરાબર છે , પણ સહેજ પણ મહેસાણી ભાષા જેવું નથી, જે એરિયા નો જે બોલવાનો લહેકો હોય એ કોઈથી પણ કોપી ના થઈ શકે, મહેસાણી ભાષા માં, હ , અને સ , આ બે શબ્દો મહત્વના",charotari,balanced
139,માયાભાઈ મજામાને અમારા મહેસાણાની આવી ભાષા નથી આપ મનોરંજન માટે બોલો તે બરાબર છે,charotari,balanced
140,મહેસાણા ની ભાષા નથી ખોટું બોલે છે પેસા માટે કરે છે,charotari,balanced
141,ભિખમંગા જેમ્ફાવેટેમ્બોલેછે,charotari,balanced
142,રાક્ષસ જેવો લાગે છે,charotari,balanced
143,સારી એમ બોલતા શીખી લે પહેલા,charotari,balanced
144,અમારી ભાષા માં હારી જ કેવાય કુક્કડા​ @RasikKukadiya,charotari,balanced
145,મેહોણા બોલતાનથી આવડતું,charotari,balanced
146,તમે આવો મેહસાણા... ભાષા સમજાવુ..,charotari,balanced
147,સાવ હલકો કલાકાર છે,charotari,balanced
148,ભાઇ મેહોણા તો મેહોણા,charotari,balanced
149,હલકા તારી હલકાઇ દેખાઈ આવી,charotari,balanced
150,"આવા લોકો કલાકાર ના કહેવાય, બહિષ્કાર થવો જોઇએ",charotari,balanced
151,રામાયણ ઉપર મજાક કરવા વાળા સંસ્કાર ની વાત કરે છે,charotari,balanced
152,એક જાત નો લુખ્ખો છે,charotari,balanced
153,જેવો માણસ એવો વિચાર હલકી ના,charotari,balanced
154,"મતલબ ગામડાના ભોળા માણસોને રામાયણનું જ્ઞાન હોય છે . તેમને કથા સાંભળવા જવાની જરુર નથી ,",charotari,balanced
155,ભાઈ ના આવડે તો સ્ટેજ ઉપરથી નીચે ઉતરી ને જતા રહો,charotari,balanced
156,આ ભાષા મહેસાણા ની નથી..આ કોઈ સમાજ ની ભાષા માં વાત કરે છે,charotari,balanced
157,આવું કોણ બોલે છે મહેસાણા મા આવી ઘર ની ભાસે વાપરે છે સરમ. આવી જોયે,charotari,balanced
158,એક તો આવાને લાખો રૂપિયા આપવાના અને સનાતન નું આપમાન્ કરવાનું,charotari,balanced
159,માયાભાઈ સાચું કહું છે!,charotari,balanced
160,આ મહેસાણી ભાષા નથી.,charotari,balanced
161,એ કોડા આ મેહસાણા ની ભાષા છેજ નઈ કોડા ફેંકવાનું બંધ કર,charotari,balanced
162,માયા આહીર અને હિતેશ કંટાળી યુ બંને મહેસાણા નથી બોલાવતા,charotari,balanced
163,નો આવડતું હોય તો નો બોલાય અમે આવુ નહિ બોલતા ઉત્તર ગુજરાત થી જ ગુજરાત ની ઓળખાણ સે,charotari,balanced
164,"આ મહા મૂર્ખના સરદારને મહેસાણા ભાષા આવડતી નથી, અને જાહેરમાં પોતાની બુદ્ધિનું પ્રદર્શન કરી રહ્યો છે. આને કોઈ પાગલખાનામાં લઈ જાઓ.",charotari,balanced
165,સનાતની નથી નહિતર આપણા પવિત્ર ગ્રંથ વિશે આવી મશ્કરી વાળી ભાષા નો વાપરે.. કલાકાર માથે લાંછનનનનનનન,charotari,balanced
166,આપણા દેવી દેવતા ને મજાકમાં લેવા નહીં.,charotari,balanced
167,મહેસાણા ભારત દેસ નુ રદય છે મહેસાણા ની ભાસ્યા સિખવા મહેસાણા માં જન્મ લેવો પડે,charotari,balanced
168,લોકો ને ઉલ્લુ બનાવીને રૂપિયા કમાઈ લીધા.... મહેસાણા ની ભાષા છે જ નહિ... તમારી ભાષા માં જ રામાયણ છે..,charotari,balanced
169,મહેસાણા ના કોઈ આવુ નથી બોલતુ તમે માયાભાઈ ખોટી બોલી ઊભી નથી કરો ્્્મારા મહેસાણા એ તો દેશને વડાપ્રધાન આપ્યો છે......,charotari,balanced
170,કલાકાર એટલે ખોટી ફાંકા ફોજદારી,charotari,balanced
171,કલાકર એટલે પૈસા ના યાર,charotari,balanced
172,જે માણસ સે વાર્તા ને સાચી માની લે છે તે અભણ ની નિશાની છે.,charotari,balanced
173,મહેસાણા ની ભાષા નથી આ કોઈ બીજા સમાજ ની ભાષા છે,charotari,balanced
174,આપડા બનાવેલા આપણને બનાવે છે,charotari,balanced
175,પયસા.. માટે.. આવી.. બૉલે.. છે. હોય.. ભાષાનૂ.. અપમાન.. ન.કરો,charotari,balanced
176,ભાઈ શ્રી આ ભાષા નથી મહેસાણા ની,charotari,balanced
177,આ મહેસાણાની ભાષા નથી પણદેવી પૂજક ભાષાછે,charotari,balanced
178,ભાઈ નુ મગજ ગાસ ચરવા ગયુ છે આપણી ભુલ એ છે કે આવા ગાંડા માણસ ના કાર્યક્રમ જોવા સાંભળવા જઈ એ છિયે,charotari,balanced
179,Hu બનાસ કાંઠા નો છું.પણ મેહાના માં છું પણ આવી ભાષા નથી....,charotari,balanced
180,ગમે એની મજાક ઉડાવે છે આ ફાલતુ,charotari,balanced
181,સારું છે મુસ્લિમ મોલાના એ આ રીતે પ્રવચન નથી કર્યો,charotari,balanced
182,વિનાશકારી વિપરીત બુદ્ધિ,charotari,balanced
183,પૈસા માટે ધર્મ નું અપમાન કરો છો,charotari,balanced
184,મેહોની ભાષા બોલતા શીખો અને પછી બોલો ભાઈ અને ના આવડે તો આવો ટાઈમ કાઢીને અમારા મહેસાણા મા શીખવાડી ને મોકલીશુ,charotari,balanced
185,સાવ કેવી નિમ્ન ધર્મ ની હસી કરે છે,charotari,balanced
186,માયા ભાઈ માપ રાખો.આ અમારી ભાષા નથી.,charotari,balanced
187,આ વેવલા પણુજ કરતો હોય જય માતાજી,charotari,balanced
188,આ મહેસાણા ની ભાશા છેજ નથી,charotari,balanced
189,માયાભાઇ મહેસાણા ની ભાષા નથી,charotari,balanced
190,મહેસાણા ને તમે નહિ સમજી શકો. માયાભાઈ.,charotari,balanced
191,માયાભાઇ આ મહેસાણા ની ભાષા નથી.,charotari,balanced
192,આના દરેક કાર્યક્રમ boycott કરવો જોઈએ.,charotari,balanced
193,આમેસાણાનીભાષાનથી.ડફોર,charotari,balanced
194,ભાઈ આ કાલ્પનિક વાતો કરી ને પૈસા કમાવા નો ધંધો છે.,charotari,balanced
195,આ મહેસાણા નુ એક્સેન્ટ નથી યાર,charotari,balanced
196,આ લોક સાહિત્ય નથી. આ એક બોલી ની મજાક ઉડાવે છે. આને લોકસાહિત્યકાર ન કહેવાય. 😢😢,charotari,balanced
197,નવરી ના જે પ્રોગ્રામ કરતો હોય તે કર બીજા ની ભાષા ઉપર ના જા,charotari,balanced
198,હળાહળ જુઠ્ઠું ન બોલો મયા ભાઇ મહેસાણાની ભાષા આવી છે જ નહિ,charotari,balanced
199,ભાષા ને ના પકડો એમની કોમેડી ની મજા લો ભાઈ એમને મનમા પન કોઈની ભાષાની મજાક ઉડાડવાનુ ના હોય ભાઈ એ મજા કરાવા આયા સે મજા માનો,charotari,balanced
200,વિષય ખોટો પસંદ કર્યો છે.,charotari,balanced
201,આ મહેસાણા ની ભાષા જ નથી,charotari,balanced
202,માયા ભાઈ આવી વાતુ ના કરાય સંશકારી છો,charotari,balanced
203,6 મહિના નાં સોકર નો કાય ખબર ના પડે ભાઈ આવો ખોટો બફાટ કરવો રેવા દયો,charotari,balanced
204,્આવીરીતેરામાયણનુઅપમાનનકરાય,charotari,balanced
205,આ મેહસાણા ની ભાષા સેજ નઈ,charotari,balanced
206,મ્હેસનવલાનેકેમનેચડેખડવામાગોછો તમેક્યારેમ્હસાનમકથાસભલીછે,charotari,balanced
207,ગુજરાત માં અલગ અલગ જગ્યાએ અલગ ભાષા બોલાય છે એમાં મહેસાણા ની ભાષા વિષે એવું બોલવું યોગ્ય નથી તમારા ભાષા તમને સારી લાગતી હોય એનો મતલબ બધાને સારી લાગે એવો અભિમાન ના કરાય ભાઈ,charotari,balanced
208,સર્જી આ ભાષા મહેસાણા ની છે. પણ લોકલ ભાષા નથી.આપ જે બોલો છો તે વાઘરી ની ભાષા છે.,charotari,balanced
209,બધી બાબતો માં ઘુસણખોરી ના થાય,charotari,balanced
210,પહેલા બેસતા શીખો,charotari,balanced
211,આ તો વેવલો જ છે. એની ગરવલીથી દુઃખી લાગે છે અને અહી વરાળ નીકળી છે,charotari,balanced
212,"આ ભાષા મહેસાણા ની નથી, મહેસાણા નો મજાક ના ઉડાવો",charotari,balanced
213,આ મહેસાણાની ભાષા નથી.,charotari,balanced
214,ભાઈ આએકદ ખોટી વાત છે ભાઈ મેસાણાની લેગવેજ નથી તમારી જોવો લેગવેજ પછી મહેસાણાની વાત કરજો આવો મહેસાણામા જોવો પછી બોલો તમારા ગામની વાતનો 👎👎👎,charotari,balanced
215,આ મહેસાણા ની ભાષા નથી,charotari,balanced
216,આ મહેસાણી ભાષા નથી,charotari,balanced
217,માયા તારી પાસે મગજ છે,charotari,balanced
218,પહેલા તો આ અમારી મહેસાણા જિલ્લાની ભાષા જ નથી.... બિજુ ઘમૅ ની મજાક ઉડાવિને .. ઘંઘા બંધ કરો,charotari,balanced
219,આપણી સંસ્કૃતિ ની મજાક ઉડાવી નેજ આટલી લોક પ્રિયતા મેળવી છે,charotari,balanced
220,માયાભાઈ તમે મહેસાણા ની ભાષા જે બોલો છો ને વાઘરીઓ બોલે એવી ભાષા બોલો 0 હસલ મહેસાણી ભાષા તમને આવડતી જ નહીં,charotari,balanced
221,મહેસાણાની ભાષા તમને નથી આવડતી,charotari,balanced
222,આપણા હિન્દુ ધર્મ ના પવિત્ર ગ્રંથ રામાયણની મજાક ઉડાવે છે એ હવે કેમ કોઈ દળો ને દેખાતુ નથી? ખોટું કરી રહયા છે માયાભાઈ આહીર તમે તો દ્વારકાધીશ ના પરમ ભક્તો છો અને હિન્દુ ધર્મ વિશે મજાક ઉડાવી રહયા છો,charotari,balanced
223,સૌથી પહેલા આપડા ધર્મ ની મજાક કરે છે તે ખોટી વસ્તુ છે. અને આ જોવા અને સંભાળવા માટે બધા જાય છે. જવું જ ના જોઈએ. અને આવી ભાષા મહેસાણા ની નથી. કોઈ જિલ્લા ની કે કોઈ ભાષા વિશે ખરાબ ના કહેવુ જોઈએ,charotari,balanced
224,એ બુદ્ધિ વગરના હિન્દુ છો?,charotari,balanced
225,ખોટી રજૂઆત છે આવી ભાષા હોતી જ નથી,charotari,balanced
